Episode,Reward,Pre,True,Probabilities,Steps
0.0,309.22702662211924,0.0,0.0,-1.0,950.0
1.0,301.8045531725166,0.0,0.0,-1.0,1010.0
2.0,307.5091332405568,0.0,0.0,-1.0,964.0
3.0,308.1610249225303,0.0,0.0,-1.0,960.0
4.0,308.02752479875625,0.0,0.0,-1.0,941.0
5.0,309.4510181035921,0.0,0.0,-1.0,924.0
6.0,304.3462193848629,0.0,0.0,-1.0,996.0
7.0,296.9478869257282,0.0,0.0,-1.0,1130.0
8.0,306.12492314213455,0.0,0.0,-1.0,946.0
9.0,306.90957514576263,0.0,0.0,-1.0,928.0
10.0,157.54139946150792,1.0,1.0,0.6103364825248718,12.0
11.0,168.56213626840656,1.0,1.0,0.5229352712631226,10.0
12.0,-65.02686143275412,1.0,1.0,0.5823961496353149,25.0
13.0,309.392870188896,0.0,0.0,-1.0,903.0
14.0,307.0183118671374,0.0,0.0,-1.0,926.0
15.0,306.6805148730261,0.0,0.0,-1.0,938.0
16.0,303.8256148062024,0.0,0.0,-1.0,948.0
17.0,306.25203751735734,0.0,0.0,-1.0,962.0
18.0,310.8086276973435,0.0,0.0,-1.0,895.0
19.0,302.9367284554942,0.0,0.0,-1.0,1006.0
20.0,305.97663953515564,0.0,0.0,-1.0,994.0
21.0,137.0742299546159,1.0,1.0,0.5251119136810303,16.0
22.0,304.3552604445838,0.0,0.0,-1.0,981.0
23.0,306.9203135006793,0.0,0.0,-1.0,934.0
24.0,308.783521497885,0.0,0.0,-1.0,923.0
25.0,303.53723778409693,0.0,0.0,-1.0,1018.0
26.0,310.67781687464264,0.0,0.0,-1.0,894.0
27.0,306.92609896051897,0.0,0.0,-1.0,969.0
28.0,67.42847349181028,1.0,1.0,0.5890687108039856,32.0
29.0,311.0305893652886,0.0,0.0,-1.0,877.0
30.0,310.4528710782147,0.0,0.0,-1.0,932.0
31.0,312.0637818746552,0.0,0.0,-1.0,914.0
32.0,308.73009349317266,0.0,0.0,-1.0,932.0
33.0,304.5377573771452,0.0,0.0,-1.0,1019.0
34.0,307.6140028924431,0.0,0.0,-1.0,919.0
35.0,305.08522467503931,1.0,0.0,0.5618146657943726,116.0
36.0,-0.524903124751475,1.0,1.0,0.573218047618866,36.0
37.0,301.19760153807806,0.0,0.0,-1.0,1050.0
38.0,71.19043435672779,1.0,1.0,0.516745388507843,13.0
39.0,-4.511325052572971,1.0,1.0,0.5229306221008301,9.0
40.0,306.65883233617706,0.0,0.0,-1.0,985.0
41.0,307.0775162082034,0.0,0.0,-1.0,921.0
42.0,308.8366811199515,0.0,0.0,-1.0,917.0
43.0,305.069683699048966,1.0,0.0,0.519110381603241,53.0
44.0,133.65669800607947,1.0,1.0,0.5661084651947021,20.0
45.0,137.87756990630928,1.0,1.0,0.5576547980308533,11.0
46.0,307.52993215270675,0.0,0.0,-1.0,904.0
47.0,65.81860804494971,1.0,1.0,0.5367028713226318,14.0
48.0,310.8620798089452,0.0,0.0,-1.0,900.0
49.0,306.95893471345073,0.0,0.0,-1.0,909.0
50.0,140.12725582913475,1.0,1.0,0.5361177921295166,7.0
51.0,306.45698962914554,0.0,0.0,-1.0,953.0
52.0,308.6124278764774,0.0,0.0,-1.0,918.0
