Episode,Reward,Pre,True,Probabilities,Steps
0.0,305.82028567623155,0.0,0.0,-1.0,956.0
1.0,0.23356762603043535,1.0,1.0,0.6551691889762878,28.0
2.0,-70.0076973466749,1.0,1.0,0.5658848881721497,28.0
3.0,104.6009789950431,1.0,1.0,0.5116680860519409,24.0
4.0,304.93972570665153,0.0,0.0,-1.0,964.0
5.0,-4.475030068357171,1.0,1.0,0.7370801568031311,18.0
6.0,303.6810514013081,0.0,0.0,-1.0,1010.0
7.0,112.5888067329767,1.0,1.0,0.7589731812477112,12.0
8.0,307.1585546160198,0.0,0.0,-1.0,957.0
9.0,-10.749798075497736,1.0,1.0,0.7167797088623047,30.0
10.0,306.51729236800276,0.0,0.0,-1.0,960.0
11.0,307.49121281005375,0.0,0.0,-1.0,935.0
12.0,18.220738504467448,1.0,1.0,0.7758902311325073,27.0
13.0,310.3668033589588,0.0,0.0,-1.0,899.0
14.0,310.1731241269011,0.0,0.0,-1.0,900.0
15.0,306.1910976825761,0.0,0.0,-1.0,960.0
16.0,310.85508210768984,0.0,0.0,-1.0,875.0
17.0,306.6487341785456,0.0,0.0,-1.0,915.0
18.0,307.41702062755036,0.0,0.0,-1.0,948.0
19.0,306.74726237452126,0.0,0.0,-1.0,972.0
20.0,310.9353701281091,0.0,0.0,-1.0,886.0
21.0,291.00454674469825,1.0,0.0,0.6412928700447083,458.0
22.0,306.7859214966875,0.0,0.0,-1.0,945.0
23.0,302.60105697469254,0.0,0.0,-1.0,984.0
24.0,154.68853383496182,1.0,1.0,0.6121230721473694,21.0
25.0,305.28145640143975,0.0,0.0,-1.0,963.0
26.0,-5.372632985939589,1.0,1.0,0.6644509434700012,315.0
27.0,305.8428691837403,0.0,0.0,-1.0,962.0
28.0,311.5204904987184,0.0,0.0,-1.0,890.0
29.0,126.83421093123019,1.0,1.0,0.7066059112548828,25.0
30.0,111.97728003796132,1.0,1.0,0.8320794105529785,10.0
31.0,306.991558068138,0.0,0.0,-1.0,968.0
32.0,306.04243405107377,0.0,0.0,-1.0,955.0
33.0,153.9241744304366,1.0,1.0,0.5852004289627075,33.0
34.0,25.745483199366035,1.0,1.0,0.6184936165809631,23.0
35.0,310.6741368411594,0.0,0.0,-1.0,893.0
36.0,307.0936432312625,0.0,0.0,-1.0,949.0
37.0,-18.588431869378297,1.0,1.0,0.5752555131912231,19.0
38.0,-25.642693038607618,1.0,1.0,0.6384747624397278,22.0
39.0,308.64963891497274,0.0,0.0,-1.0,921.0
40.0,302.38433136016306,0.0,0.0,-1.0,1068.0
41.0,309.4189199579793,0.0,0.0,-1.0,898.0
42.0,-75.8496370783703,1.0,1.0,0.8312949538230896,25.0
43.0,310.34219755568034,0.0,0.0,-1.0,917.0
44.0,188.70850274551037,1.0,1.0,0.5272406339645386,33.0
45.0,308.3863234162386,0.0,0.0,-1.0,948.0
46.0,108.04830443022763,1.0,1.0,0.6009983420372009,28.0
47.0,302.0184987362084,0.0,0.0,-1.0,1032.0
48.0,303.20694212136806,0.0,0.0,-1.0,1010.0
49.0,303.947837829919,0.0,0.0,-1.0,1025.0
50.0,309.9418637006145,0.0,0.0,-1.0,893.0
51.0,303.46775561183733,0.0,0.0,-1.0,1001.0
52.0,309.06967884051664,0.0,0.0,-1.0,901.0
53.0,176.38890926492286,1.0,1.0,0.6412805318832397,19.0
54.0,9.010387901337253,1.0,1.0,0.5886966586112976,21.0
55.0,74.67336646942528,1.0,1.0,0.6569996476173401,35.0
56.0,310.59931978623564,1.0,0.0,0.7385473251342773,18.0
57.0,134.66142803573763,1.0,1.0,0.5319089293479919,35.0
58.0,14.455359526649787,1.0,1.0,0.5904904007911682,39.0
59.0,52.090609857326314,1.0,1.0,0.5225804448127747,34.0
60.0,136.4707066043294,1.0,1.0,0.7164117097854614,27.0
61.0,103.42033496781747,1.0,1.0,0.777861475944519,19.0
62.0,308.1319710203869,0.0,0.0,-1.0,870.0
63.0,306.0274160653601,0.0,0.0,-1.0,985.0
64.0,300.76988687513614,0.0,0.0,-1.0,1032.0
65.0,17.768891041317985,1.0,1.0,0.5698211789131165,27.0
66.0,306.2457102849432,0.0,0.0,-1.0,977.0
67.0,298.36523254130356,0.0,0.0,-1.0,1086.0
68.0,125.0189044621732,1.0,1.0,0.6114528179168701,16.0
69.0,308.7275554118496,0.0,0.0,-1.0,955.0
70.0,166.97327223013053,1.0,1.0,0.8002947568893433,33.0
71.0,303.4335206414482,0.0,0.0,-1.0,1043.0
72.0,311.03818437299196,0.0,0.0,-1.0,892.0
73.0,307.52846889335945,0.0,0.0,-1.0,924.0
74.0,305.75423171384006,0.0,0.0,-1.0,947.0
75.0,-24.48223813664299,1.0,1.0,0.5711822509765625,18.0
