Episode,Reward,Pre,True,Probabilities,Steps
0.0,27.98883258300394,1.0,1.0,-1.0,10.0
1.0,306.7462718914597,0.0,0.0,-1.0,927.0
2.0,307.87921984045005,0.0,0.0,-1.0,947.0
3.0,307.028311176533,1.0,0.0,-1.0,569.0
4.0,308.25184528558987,0.0,0.0,-1.0,914.0
5.0,305.2869348322044,1.0,0.0,-1.0,724.0
6.0,-7.660975717707188,1.0,1.0,-1.0,28.0
7.0,307.3856966779725,0.0,0.0,-1.0,901.0
8.0,308.5354366643733,0.0,0.0,-1.0,917.0
9.0,68.4935541106816,1.0,1.0,-1.0,16.0
10.0,81.19717260423317,1.0,1.0,-1.0,11.0
11.0,-63.23221750434677,1.0,1.0,-1.0,12.0
12.0,309.5748338418442,1.0,0.0,-1.0,731.0
13.0,196.65873848347633,1.0,1.0,-1.0,7.0
14.0,113.81454661948186,1.0,1.0,-1.0,371.0
15.0,308.95098325797795,1.0,0.0,-1.0,436.0
16.0,306.23241538866137,0.0,0.0,-1.0,945.0
17.0,309.6587900204649,1.0,0.0,-1.0,119.0
18.0,253.51678816520766,1.0,1.0,-1.0,1123.0
19.0,307.87905063593024,0.0,0.0,-1.0,889.0
20.0,-18.3831185037493,1.0,1.0,-1.0,11.0
21.0,306.8376698536269,0.0,0.0,-1.0,945.0
22.0,307.4367942563544,0.0,0.0,-1.0,908.0
23.0,124.87096186017922,1.0,1.0,-1.0,304.0
24.0,124.62925364813722,1.0,1.0,-1.0,17.0
25.0,7.745379286749255,1.0,1.0,-1.0,0.0
26.0,121.65274773651728,1.0,1.0,-1.0,2.0
27.0,309.0916924502781,1.0,0.0,-1.0,789.0
28.0,40.89657000953761,0.0,1.0,-1.0,452.0
29.0,96.560697294553,1.0,1.0,-1.0,541.0
30.0,16.783896208886745,1.0,1.0,-1.0,11.0
31.0,303.6749816702276,0.0,0.0,-1.0,989.0
32.0,170.07264854531246,1.0,1.0,-1.0,29.0
33.0,304.7418654995439,0.0,0.0,-1.0,958.0
34.0,306.3237231370324,1.0,0.0,-1.0,380.0
35.0,307.7486775447525,0.0,0.0,-1.0,923.0
36.0,308.13549319858913,1.0,0.0,-1.0,59.0
37.0,74.40557023145132,1.0,1.0,-1.0,12.0
38.0,303.6447834593705,1.0,0.0,-1.0,658.0
39.0,305.8885397581281,0.0,0.0,-1.0,928.0
40.0,304.3371089241964,1.0,0.0,-1.0,567.0
41.0,27.01999355750037,1.0,1.0,-1.0,5.0
42.0,131.5061139660152,1.0,1.0,-1.0,199.0
43.0,307.1865749374129,1.0,0.0,-1.0,526.0
44.0,307.07142301761326,1.0,0.0,-1.0,222.0
45.0,305.15885943794393,0.0,0.0,-1.0,1001.0
46.0,187.6515428008363,1.0,1.0,-1.0,10.0
47.0,73.84418504210811,1.0,1.0,-1.0,22.0
48.0,53.34171767286384,1.0,1.0,-1.0,311.0
49.0,307.39571238088206,1.0,0.0,-1.0,696.0
50.0,306.21527098198607,0.0,0.0,-1.0,952.0
51.0,305.328107131985,1.0,0.0,-1.0,591.0
52.0,307.673209458069,1.0,0.0,-1.0,94.0
53.0,76.61643154465156,1.0,1.0,-1.0,14.0
54.0,308.80506680389755,0.0,0.0,-1.0,915.0
55.0,303.5566094411347,0.0,0.0,-1.0,994.0
56.0,-40.37226175832936,1.0,1.0,-1.0,8.0
57.0,310.22419039836194,0.0,0.0,-1.0,910.0
58.0,308.8362699148093,0.0,0.0,-1.0,953.0
59.0,311.10735142399716,1.0,0.0,-1.0,359.0
60.0,310.45169945263734,1.0,0.0,-1.0,444.0
61.0,140.51404620628907,1.0,1.0,-1.0,13.0
62.0,306.4060728543735,1.0,0.0,-1.0,607.0
63.0,305.60168091852717,1.0,0.0,-1.0,752.0
64.0,3.4175659831086023,1.0,1.0,-1.0,13.0
65.0,306.3832393700995,0.0,0.0,-1.0,953.0
66.0,308.57343417513397,0.0,0.0,-1.0,946.0
67.0,308.81789730720993,0.0,0.0,-1.0,959.0
68.0,310.0042757468098,0.0,0.0,-1.0,894.0
69.0,307.6651060264656,1.0,0.0,-1.0,447.0
70.0,12.419048075900804,1.0,1.0,-1.0,186.0
71.0,311.28707019508346,1.0,0.0,-1.0,598.0
72.0,311.0222122286467,0.0,0.0,-1.0,885.0
73.0,-39.158044230897026,1.0,1.0,-1.0,3.0
74.0,145.0449424205684,1.0,1.0,-1.0,9.0
75.0,303.03183969606664,1.0,0.0,-1.0,423.0
76.0,308.6226982359396,0.0,0.0,-1.0,933.0
77.0,307.69849370541993,1.0,0.0,-1.0,614.0
78.0,309.3837356923719,0.0,0.0,-1.0,930.0
79.0,184.87475246054214,1.0,1.0,-1.0,239.0
80.0,307.6075028704931,1.0,0.0,-1.0,680.0
81.0,51.238120920523556,1.0,1.0,-1.0,313.0
82.0,308.023960857604,1.0,0.0,-1.0,97.0
83.0,175.29164827003274,1.0,1.0,-1.0,729.0
84.0,-14.918009978983491,1.0,1.0,-1.0,29.0
85.0,306.3016170439699,0.0,0.0,-1.0,977.0
86.0,133.3870230257518,1.0,1.0,-1.0,542.0
87.0,304.8227545009371,0.0,0.0,-1.0,975.0
88.0,307.541899504108,0.0,0.0,-1.0,937.0
89.0,307.55821792639875,1.0,0.0,-1.0,412.0
90.0,-1.9720872396472942,1.0,1.0,-1.0,12.0
91.0,190.62873924770423,1.0,1.0,-1.0,526.0
92.0,308.9616068267927,1.0,0.0,-1.0,144.0
93.0,135.89573024756956,1.0,1.0,-1.0,656.0
94.0,305.86690256052657,0.0,0.0,-1.0,958.0
95.0,309.32208308024525,0.0,0.0,-1.0,898.0
96.0,83.34839821176476,1.0,1.0,-1.0,14.0
97.0,305.2550775507932,1.0,0.0,-1.0,847.0
98.0,-65.8420940131247,1.0,1.0,-1.0,6.0
99.0,305.86947549443994,0.0,0.0,-1.0,913.0
100.0,138.6921434710353,1.0,1.0,-1.0,7.0
101.0,150.8227621654297,1.0,1.0,-1.0,18.0
102.0,89.75725694444046,1.0,1.0,-1.0,338.0
103.0,310.5452632189166,0.0,0.0,-1.0,868.0
104.0,303.3384435777988,1.0,0.0,-1.0,775.0
105.0,305.0378048152628,1.0,0.0,-1.0,334.0
106.0,305.2850907468382,0.0,0.0,-1.0,939.0
107.0,127.24638532468205,1.0,1.0,-1.0,10.0
108.0,308.6831009398451,0.0,0.0,-1.0,912.0
109.0,308.5846728266328,1.0,0.0,-1.0,499.0
110.0,306.53295524553323,0.0,0.0,-1.0,928.0
111.0,-51.23731346918952,1.0,1.0,-1.0,12.0
112.0,311.56659325365655,0.0,0.0,-1.0,881.0
113.0,-41.66660004860099,1.0,1.0,-1.0,11.0
114.0,310.6146330713603,0.0,0.0,-1.0,904.0
115.0,196.97257565398064,1.0,1.0,-1.0,22.0
116.0,26.284872658519745,1.0,1.0,-1.0,8.0
117.0,-39.53282870087711,1.0,1.0,-1.0,11.0
118.0,305.5889066762507,1.0,0.0,-1.0,181.0
119.0,309.70342274529986,0.0,0.0,-1.0,917.0
120.0,-0.69480016048621,1.0,1.0,-1.0,7.0
121.0,305.44860793547565,1.0,0.0,-1.0,22.0
122.0,103.55637536982522,1.0,1.0,-1.0,8.0
123.0,311.2728484482833,0.0,0.0,-1.0,897.0
124.0,305.11990856062965,1.0,0.0,-1.0,794.0
125.0,306.66040924139986,0.0,0.0,-1.0,928.0
126.0,307.6830882798751,0.0,0.0,-1.0,990.0
127.0,301.8633318342694,1.0,0.0,-1.0,541.0
128.0,306.3636011025865,1.0,0.0,-1.0,133.0
129.0,302.98151007102996,1.0,0.0,-1.0,688.0
130.0,311.26452453883917,0.0,0.0,-1.0,899.0
131.0,307.01732044977814,1.0,0.0,-1.0,219.0
132.0,305.33539042200454,0.0,0.0,-1.0,974.0
133.0,309.3232933075568,0.0,0.0,-1.0,920.0
134.0,174.5257293016508,1.0,1.0,-1.0,610.0
135.0,77.6571157544077,1.0,1.0,-1.0,27.0
136.0,-82.71020637202821,1.0,1.0,-1.0,7.0
137.0,73.1689704134184,1.0,1.0,-1.0,13.0
138.0,309.94241094430015,0.0,0.0,-1.0,922.0
139.0,0.7012314192187006,1.0,1.0,-1.0,10.0
140.0,305.74118285658506,1.0,0.0,-1.0,65.0
141.0,305.02263593700906,1.0,0.0,-1.0,832.0
142.0,308.4651929469268,1.0,0.0,-1.0,552.0
143.0,302.575878629277,1.0,0.0,-1.0,806.0
144.0,303.7597888300001,1.0,0.0,-1.0,183.0
145.0,296.3133154091697,1.0,0.0,-1.0,897.0
146.0,310.0378761745588,0.0,0.0,-1.0,924.0
147.0,307.92391395136474,0.0,0.0,-1.0,939.0
148.0,307.6175745175438,0.0,0.0,-1.0,942.0
149.0,299.9133013906651,1.0,0.0,-1.0,858.0
150.0,-79.9576252120069,1.0,1.0,-1.0,6.0
151.0,304.81308556982975,0.0,0.0,-1.0,968.0
152.0,305.7049871925201,1.0,0.0,-1.0,715.0
153.0,306.2861409537432,1.0,0.0,-1.0,776.0
154.0,305.49064467517286,1.0,0.0,-1.0,225.0
155.0,172.0841801941662,1.0,1.0,-1.0,17.0
156.0,303.24132454605405,1.0,0.0,-1.0,554.0
157.0,-2.3539348564681433,1.0,1.0,-1.0,12.0
158.0,303.6241129693701,1.0,0.0,-1.0,721.0
159.0,69.00521437733414,1.0,1.0,-1.0,12.0
160.0,304.80057611099795,1.0,0.0,-1.0,811.0
161.0,310.1554237493156,0.0,0.0,-1.0,886.0
162.0,307.3956187443654,0.0,0.0,-1.0,920.0
163.0,307.5049993783776,0.0,0.0,-1.0,932.0
164.0,303.79968892881936,1.0,0.0,-1.0,412.0
165.0,95.68075961964271,1.0,1.0,-1.0,515.0
166.0,306.8221122980791,0.0,0.0,-1.0,980.0
167.0,307.78200057453637,1.0,0.0,-1.0,495.0
168.0,310.16838851614773,0.0,0.0,-1.0,895.0
169.0,308.98562261143843,1.0,0.0,-1.0,693.0
170.0,310.37649963391664,0.0,0.0,-1.0,900.0
171.0,152.7978027845411,1.0,1.0,-1.0,11.0
172.0,28.53577700473494,1.0,1.0,-1.0,12.0
173.0,306.92747860792826,1.0,0.0,-1.0,533.0
174.0,305.07696374651044,0.0,0.0,-1.0,946.0
175.0,309.03975891537317,0.0,0.0,-1.0,911.0
176.0,300.46854863216464,1.0,0.0,-1.0,483.0
177.0,307.8636758706337,0.0,0.0,-1.0,908.0
178.0,300.2443566009149,1.0,0.0,-1.0,445.0
