Episode,Reward,Pre,True,Probabilities,Steps
0.0,2182.4852813368616,1.0,1.0,0.5605048537254333,170.0
1.0,3261.854957365928,0.0,0.0,-1.0,1000.0
2.0,3261.136132020695,0.0,0.0,-1.0,1000.0
3.0,3258.8446164118773,0.0,0.0,-1.0,1000.0
4.0,3362.5592785533595,1.0,1.0,0.5988941788673401,107.0
5.0,2227.93730077444,1.0,1.0,0.5703416466712952,182.0
6.0,2917.6759787721135,1.0,1.0,0.5053350925445557,170.0
7.0,2126.6797338843094,1.0,1.0,0.5618302226066589,153.0
8.0,3259.471064349116,0.0,0.0,-1.0,1000.0
9.0,3258.596493617858,0.0,0.0,-1.0,1000.0
10.0,3257.8035381814934,0.0,0.0,-1.0,1000.0
11.0,3259.773394829894,0.0,0.0,-1.0,1000.0
12.0,3261.163558165882,0.0,0.0,-1.0,1000.0
13.0,3472.4918707717884,1.0,0.0,0.6045874953269958,133.0
14.0,3254.1406257670455,0.0,0.0,-1.0,1000.0
15.0,3256.778423662602,0.0,0.0,-1.0,1000.0
16.0,3253.1204529769484,0.0,0.0,-1.0,1000.0
17.0,3257.2112999813958,0.0,0.0,-1.0,1000.0
18.0,2340.163694404253,1.0,1.0,0.6054593324661255,144.0
19.0,3250.0862045886283,0.0,0.0,-1.0,1000.0
20.0,3256.4163513347216,0.0,0.0,-1.0,1000.0
21.0,3270.6295630967998,0.0,0.0,-1.0,1000.0
22.0,3255.7140213039233,0.0,0.0,-1.0,1000.0
23.0,3279.6561881882426,0.0,0.0,-1.0,1000.0
24.0,3255.663588299054,0.0,0.0,-1.0,1000.0
25.0,3259.292882882294,0.0,0.0,-1.0,1000.0
26.0,3257.968318335411,0.0,0.0,-1.0,1000.0
27.0,3263.3077411752383,0.0,0.0,-1.0,1000.0
28.0,3270.219009368323,0.0,0.0,-1.0,1000.0
29.0,3257.8925610948536,0.0,0.0,-1.0,1000.0
30.0,2551.0735111635877,1.0,1.0,0.5431223511695862,202.0
31.0,3255.488851875717,0.0,0.0,-1.0,1000.0
32.0,3254.636508288103,0.0,0.0,-1.0,1000.0
33.0,3259.3738262485303,0.0,0.0,-1.0,1000.0
34.0,3439.344943599861,1.0,1.0,0.52548748254776,177.0
35.0,3258.5364327804186,0.0,0.0,-1.0,1000.0
36.0,3381.681611772345,1.0,0.0,0.5575088858604431,168.0
37.0,3259.7920497073073,0.0,0.0,-1.0,1000.0
38.0,3256.989392372786,0.0,0.0,-1.0,1000.0
39.0,3252.5740925650916,0.0,0.0,-1.0,1000.0
40.0,2419.360882569683,1.0,1.0,0.5775822401046753,177.0
41.0,3253.224914246732,0.0,0.0,-1.0,1000.0
42.0,3262.6804919046695,0.0,0.0,-1.0,1000.0
43.0,3256.268172475667,0.0,0.0,-1.0,1000.0
44.0,3262.9761544961852,0.0,0.0,-1.0,1000.0
45.0,3258.777805344884,0.0,0.0,-1.0,1000.0
46.0,3266.4034008084905,0.0,0.0,-1.0,1000.0
47.0,2765.4239472705212,1.0,1.0,0.619449257850647,197.0
48.0,3270.4456031226155,0.0,0.0,-1.0,1000.0
49.0,3266.868143652077,0.0,0.0,-1.0,1000.0
50.0,3250.868669243348,0.0,0.0,-1.0,1000.0
51.0,3256.565691287586,0.0,0.0,-1.0,1000.0
52.0,3262.012942426998,0.0,0.0,-1.0,1000.0
53.0,3257.965967428522,0.0,0.0,-1.0,1000.0
54.0,3249.131438527912,0.0,0.0,-1.0,1000.0
55.0,3255.9682010755473,0.0,0.0,-1.0,1000.0
56.0,3341.9134241730126,1.0,0.0,0.6006431579589844,65.0
57.0,3268.3512631532844,0.0,0.0,-1.0,1000.0
58.0,3258.076173439351,0.0,0.0,-1.0,1000.0
59.0,3257.3470485227763,0.0,0.0,-1.0,1000.0
60.0,3256.640889930387,0.0,0.0,-1.0,1000.0
61.0,3253.7714555891303,0.0,0.0,-1.0,1000.0
62.0,3257.5584291875607,0.0,0.0,-1.0,1000.0
