Episode,Reward,Pre,True,Probabilities,Steps
0.0,3252.8061278631026,0.0,0.0,-1.0,1000.0
1.0,3260.825963901627,0.0,0.0,-1.0,1000.0
2.0,2862.4125601315877,1.0,1.0,0.5221073031425476,88.0
3.0,3247.7209084116703,0.0,0.0,-1.0,1000.0
4.0,3270.1670219202906,0.0,0.0,-1.0,1000.0
5.0,3279.598771736085,0.0,0.0,-1.0,1000.0
6.0,3264.312153588555,0.0,0.0,-1.0,1000.0
7.0,3258.3014110609492,0.0,0.0,-1.0,1000.0
8.0,3255.425422935592,0.0,0.0,-1.0,1000.0
9.0,3258.901769303334,0.0,0.0,-1.0,1000.0
10.0,3259.832767487622,0.0,0.0,-1.0,1000.0
11.0,3264.23342458077,0.0,0.0,-1.0,1000.0
12.0,2939.2176712541777,1.0,1.0,0.5195633769035339,116.0
13.0,3405.193707447309,1.0,0.0,0.6403279304504395,77.0
14.0,3418.856538066462,1.0,1.0,0.514673113822937,67.0
15.0,3252.1553793886997,0.0,0.0,-1.0,1000.0
16.0,3259.869119787661,0.0,0.0,-1.0,1000.0
17.0,3266.4062478012156,0.0,0.0,-1.0,1000.0
18.0,3256.240478935305,0.0,0.0,-1.0,1000.0
19.0,3256.163187167046,0.0,0.0,-1.0,1000.0
20.0,3264.8016724515737,0.0,0.0,-1.0,1000.0
21.0,3254.0504532956143,0.0,0.0,-1.0,1000.0
22.0,3256.2549271237044,0.0,0.0,-1.0,1000.0
23.0,2352.9461867009636,1.0,1.0,0.6281419992446899,45.0
24.0,3261.8501276169686,0.0,0.0,-1.0,1000.0
25.0,2331.9892117274912,1.0,1.0,0.5357854962348938,151.0
26.0,3244.0912362781087,0.0,0.0,-1.0,1000.0
27.0,3254.3446666700734,0.0,0.0,-1.0,1000.0
28.0,2379.1354965623705,1.0,1.0,0.8917548060417175,135.0
29.0,3311.6428419378453,1.0,1.0,0.5670085549354553,155.0
30.0,3269.2446617495393,0.0,0.0,-1.0,1000.0
31.0,3257.1258279337376,0.0,0.0,-1.0,1000.0
32.0,2379.2869548173544,1.0,1.0,0.6293612122535706,53.0
33.0,3105.475068179476,1.0,1.0,0.5760011076927185,56.0
34.0,3261.3725634688085,0.0,0.0,-1.0,1000.0
35.0,2574.6758976960955,1.0,1.0,0.7479312419891357,122.0
36.0,3333.599372587566,1.0,1.0,0.5907896161079407,49.0
37.0,3244.904704748,0.0,0.0,-1.0,1000.0
38.0,3257.798909898865,0.0,0.0,-1.0,1000.0
39.0,3251.780151937265,0.0,0.0,-1.0,1000.0
40.0,3250.6290216321026,0.0,0.0,-1.0,1000.0
41.0,3259.877261780707,0.0,0.0,-1.0,1000.0
42.0,3258.8518525006098,0.0,0.0,-1.0,1000.0
43.0,3258.600596543916,0.0,0.0,-1.0,1000.0
44.0,3256.2099686126157,0.0,0.0,-1.0,1000.0
45.0,2572.825093715006,1.0,1.0,0.6087026000022888,89.0
46.0,3014.028850633257,1.0,1.0,0.5230933427810669,26.0
47.0,3248.4746421635537,0.0,0.0,-1.0,1000.0
48.0,3248.2126445528756,0.0,0.0,-1.0,1000.0
49.0,2229.3020575787477,1.0,1.0,0.5131632089614868,71.0
50.0,3249.5801638341773,0.0,0.0,-1.0,1000.0
51.0,3247.412035834654,0.0,0.0,-1.0,1000.0
52.0,3256.1533130629978,0.0,0.0,-1.0,1000.0
53.0,3307.2455579960447,0.0,0.0,-1.0,1000.0
54.0,3264.639467803957,0.0,0.0,-1.0,1000.0
55.0,3243.2913940457483,0.0,0.0,-1.0,1000.0
56.0,3381.4823836038236,1.0,1.0,0.5413500070571899,60.0
57.0,3254.9295838560574,0.0,0.0,-1.0,1000.0
58.0,3270.9086755818967,0.0,0.0,-1.0,1000.0
59.0,3521.588052147936,1.0,0.0,0.5945519804954529,154.0
60.0,3246.6273469456214,0.0,0.0,-1.0,1000.0
61.0,2426.9704102293003,1.0,1.0,0.6891099810600281,57.0
62.0,3268.34787893015,0.0,0.0,-1.0,1000.0
63.0,2241.1129160098826,1.0,1.0,0.6261982321739197,69.0
64.0,2663.821031673746,1.0,1.0,0.6310694217681885,91.0
65.0,3254.624284127363,0.0,0.0,-1.0,1000.0
66.0,1942.862943560154,1.0,1.0,0.5291498303413391,65.0
67.0,3262.779749942901,0.0,0.0,-1.0,1000.0
68.0,3262.89221294394,0.0,0.0,-1.0,1000.0
69.0,2119.31904854736,1.0,1.0,0.6353434324264526,96.0
70.0,3269.109629022046,0.0,0.0,-1.0,1000.0
71.0,3329.584801942681,1.0,0.0,0.5317100882530212,8.0
72.0,3252.3713062237766,0.0,0.0,-1.0,1000.0
73.0,2512.2094309854606,1.0,1.0,0.858204185962677,135.0
74.0,3250.4995097208694,0.0,0.0,-1.0,1000.0
75.0,3267.4479184982765,0.0,0.0,-1.0,1000.0
76.0,3259.8287550630675,0.0,0.0,-1.0,1000.0
77.0,2834.5799734197612,1.0,1.0,0.5746628046035767,155.0
78.0,3261.2063738243937,0.0,0.0,-1.0,1000.0
79.0,3257.8893514764027,0.0,0.0,-1.0,1000.0
80.0,2177.647046863762,1.0,1.0,0.5789303779602051,86.0
81.0,3249.7342849836864,0.0,0.0,-1.0,1000.0
82.0,2157.0821768261953,1.0,1.0,0.5630831718444824,107.0
83.0,2217.5505395777677,1.0,1.0,0.6637666821479797,69.0
84.0,3260.445072763115,0.0,0.0,-1.0,1000.0
85.0,3254.948761580425,0.0,0.0,-1.0,1000.0
86.0,3257.9202266793445,0.0,0.0,-1.0,1000.0
87.0,3259.7739883144036,0.0,0.0,-1.0,1000.0
88.0,3269.502022513595,0.0,0.0,-1.0,1000.0
89.0,3458.293071318333,1.0,0.0,0.5007488131523132,75.0
90.0,3254.05063710601,0.0,0.0,-1.0,1000.0
91.0,3347.951961265104,1.0,0.0,0.6027675271034241,12.0
92.0,3253.983052912396,0.0,0.0,-1.0,1000.0
93.0,3250.008112976433,0.0,0.0,-1.0,1000.0
94.0,3257.6384508967803,0.0,0.0,-1.0,1000.0
95.0,3253.0319228676285,0.0,0.0,-1.0,1000.0
96.0,3259.211806629924,0.0,0.0,-1.0,1000.0
97.0,3296.7038389930867,0.0,0.0,-1.0,1000.0
98.0,3263.6322323110944,0.0,0.0,-1.0,1000.0
99.0,3251.7522627206276,0.0,0.0,-1.0,1000.0
100.0,3008.125440865678,1.0,1.0,0.523133397102356,136.0
101.0,3253.9101778581376,0.0,0.0,-1.0,1000.0
102.0,3254.209642615779,0.0,0.0,-1.0,1000.0
103.0,3254.0104132392953,0.0,0.0,-1.0,1000.0
104.0,3270.1949135483565,0.0,0.0,-1.0,1000.0
105.0,2476.491609250901,1.0,1.0,0.563599169254303,68.0
106.0,3250.5061392478165,0.0,0.0,-1.0,1000.0
107.0,2594.602710239302,1.0,1.0,0.590286910533905,156.0
108.0,2126.4155540864344,1.0,1.0,0.8742534518241882,62.0
109.0,3273.0316401645864,0.0,0.0,-1.0,1000.0
110.0,2472.0708575212234,1.0,1.0,0.5339546203613281,98.0
111.0,3252.123505578442,0.0,0.0,-1.0,1000.0
112.0,2315.725490845383,1.0,1.0,0.7998924255371094,117.0
113.0,3248.030874288166,0.0,0.0,-1.0,1000.0
114.0,3282.1779290008053,0.0,0.0,-1.0,1000.0
115.0,2609.8305060477323,1.0,1.0,0.609879195690155,100.0
116.0,3250.637592047772,0.0,0.0,-1.0,1000.0
117.0,3253.093388401917,0.0,0.0,-1.0,1000.0
118.0,3256.1231761554354,0.0,0.0,-1.0,1000.0
119.0,3305.1328944870743,1.0,1.0,0.5594613552093506,90.0
120.0,3341.6793201424766,1.0,0.0,0.5110597610473633,7.0
121.0,2177.577320107023,1.0,1.0,0.5336433053016663,109.0
122.0,3249.963227699962,0.0,0.0,-1.0,1000.0
123.0,2216.265017552785,1.0,1.0,0.7238091826438904,63.0
124.0,2904.3398290923874,1.0,1.0,0.5699453949928284,62.0
125.0,2558.364750402636,1.0,1.0,0.5034574270248413,29.0
126.0,3243.0297488300325,0.0,0.0,-1.0,1000.0
127.0,3254.213843375316,0.0,0.0,-1.0,1000.0
128.0,3258.9274599865857,0.0,0.0,-1.0,1000.0
129.0,3250.585564290804,0.0,0.0,-1.0,1000.0
130.0,3256.297851151674,0.0,0.0,-1.0,1000.0
131.0,3258.4882506957733,0.0,0.0,-1.0,1000.0
132.0,3256.102131660443,0.0,0.0,-1.0,1000.0
133.0,3340.2676436094885,1.0,1.0,0.7789594531059265,60.0
134.0,2008.9866676575402,1.0,1.0,0.5550050139427185,76.0
135.0,3254.315936963959,0.0,0.0,-1.0,1000.0
136.0,3266.377863639143,0.0,0.0,-1.0,1000.0
137.0,3256.9171633809765,0.0,0.0,-1.0,1000.0
138.0,3255.5942035425046,0.0,0.0,-1.0,1000.0
139.0,3257.716919086978,0.0,0.0,-1.0,1000.0
140.0,3249.1861203199282,0.0,0.0,-1.0,1000.0
141.0,3251.4864747301826,0.0,0.0,-1.0,1000.0
142.0,3259.8866084712004,0.0,0.0,-1.0,1000.0
143.0,3260.64021196524,0.0,0.0,-1.0,1000.0
144.0,3253.930995080945,0.0,0.0,-1.0,1000.0
145.0,2508.096632895797,1.0,1.0,0.522566020488739,136.0
146.0,3324.5642220780655,1.0,0.0,0.5257285833358765,7.0
147.0,3258.4117003063143,0.0,0.0,-1.0,1000.0
148.0,2436.5100481778754,1.0,1.0,0.613986074924469,121.0
149.0,3252.24604841836,0.0,0.0,-1.0,1000.0
150.0,3266.637649612153,0.0,0.0,-1.0,1000.0
151.0,2734.303787407809,1.0,1.0,0.7268362045288086,70.0
152.0,3255.9033615657527,0.0,0.0,-1.0,1000.0
153.0,3259.7037383090806,0.0,0.0,-1.0,1000.0
154.0,3409.139710026295,1.0,0.0,0.5085310339927673,18.0
155.0,3258.370690048795,0.0,0.0,-1.0,1000.0
156.0,3257.884727079737,0.0,0.0,-1.0,1000.0
157.0,2388.073374379618,1.0,1.0,0.5362140536308289,58.0
158.0,3247.163167883678,0.0,0.0,-1.0,1000.0
159.0,2130.627999500129,1.0,1.0,0.5593909621238708,101.0
