Episode,Reward,Pre,True,Probabilities,Steps
0.0,3285.453961120764,0.0,0.0,-1.0,1000.0
1.0,3290.418810894102,1.0,0.0,-1.0,953.0
2.0,3251.346485336869,0.0,0.0,-1.0,1000.0
3.0,3265.3021278655974,0.0,0.0,-1.0,1000.0
4.0,3255.8437589849223,0.0,0.0,-1.0,1000.0
5.0,3266.5890062707963,1.0,0.0,-1.0,957.0
6.0,3256.636888336258,0.0,0.0,-1.0,1000.0
7.0,3261.656183162864,1.0,0.0,-1.0,939.0
8.0,3252.4289776413952,1.0,0.0,-1.0,957.0
9.0,3246.402888684724,0.0,0.0,-1.0,1000.0
10.0,3248.4474604729944,1.0,0.0,-1.0,957.0
11.0,3279.5877611331216,1.0,1.0,-1.0,89.0
12.0,3260.0342184137976,0.0,0.0,-1.0,1000.0
13.0,3255.7480662860494,0.0,0.0,-1.0,1000.0
14.0,3256.966955232772,0.0,0.0,-1.0,1000.0
15.0,3255.7159090087903,0.0,0.0,-1.0,1000.0
16.0,3404.9473168543063,1.0,1.0,-1.0,164.0
17.0,3257.1589418109943,0.0,0.0,-1.0,1000.0
18.0,3258.29040521658,0.0,0.0,-1.0,1000.0
19.0,3282.946680863404,0.0,0.0,-1.0,1000.0
20.0,3260.9493912897206,0.0,0.0,-1.0,1000.0
21.0,3251.1165554387703,1.0,0.0,-1.0,954.0
22.0,3259.941084037903,0.0,0.0,-1.0,1000.0
23.0,3419.5619700107577,1.0,1.0,-1.0,168.0
24.0,2701.996621463475,1.0,1.0,-1.0,185.0
25.0,3261.2784942676467,0.0,0.0,-1.0,1000.0
26.0,3264.4013747440767,0.0,0.0,-1.0,1000.0
27.0,3257.90614606897,0.0,0.0,-1.0,1000.0
28.0,3254.702620237209,0.0,0.0,-1.0,1000.0
29.0,3263.831722106248,0.0,0.0,-1.0,1000.0
30.0,3254.4723809048564,0.0,0.0,-1.0,1000.0
31.0,2113.5782587881827,1.0,1.0,-1.0,100.0
32.0,3444.6462733768535,1.0,0.0,-1.0,131.0
33.0,2203.2198399740882,1.0,1.0,-1.0,560.0
