Episode,Reward,Pre,True,Probabilities,Steps
0.0,5407.672864557517,0.0,0.0,-1.0,1000.0
1.0,5465.9630772500495,0.0,0.0,-1.0,1000.0
2.0,1760.4561958042373,1.0,1.0,0.50087571144104,59.0
3.0,5424.799056483713,0.0,0.0,-1.0,1000.0
4.0,5418.501021870799,0.0,0.0,-1.0,1000.0
5.0,5446.1881990719085,0.0,0.0,-1.0,1000.0
6.0,5407.172561397139,0.0,0.0,-1.0,1000.0
7.0,5413.5895875732285,0.0,0.0,-1.0,1000.0
8.0,5427.21222466235,0.0,0.0,-1.0,1000.0
9.0,5456.80608300297,0.0,0.0,-1.0,1000.0
10.0,5451.787314310363,0.0,0.0,-1.0,1000.0
11.0,5435.762594897672,0.0,0.0,-1.0,1000.0
12.0,5424.560323869013,0.0,0.0,-1.0,1000.0
13.0,5429.185243595329,0.0,0.0,-1.0,1000.0
14.0,5181.739295168116,1.0,1.0,0.5140697956085205,923.0
15.0,5419.62187137517,0.0,0.0,-1.0,1000.0
16.0,5446.737399752442,0.0,0.0,-1.0,1000.0
17.0,5433.312297597892,0.0,0.0,-1.0,1000.0
18.0,5335.029814515956,1.0,0.0,0.5180566310882568,865.0
19.0,5140.891213551687,1.0,1.0,0.5037475824356079,331.0
20.0,1953.8570745526433,1.0,1.0,0.5663946270942688,134.0
21.0,5468.453467822363,0.0,0.0,-1.0,1000.0
22.0,5318.077877912176,1.0,0.0,0.5470126271247864,767.0
23.0,2710.588644369788,1.0,1.0,0.5223806500434875,69.0
24.0,5431.127418582539,0.0,0.0,-1.0,1000.0
25.0,5422.9978080998235,0.0,0.0,-1.0,1000.0
26.0,3792.8614347536272,1.0,1.0,0.5535377860069275,64.0
27.0,5387.553567344108,0.0,0.0,-1.0,1000.0
28.0,5430.2624867899485,0.0,0.0,-1.0,1000.0
29.0,5452.841216427693,0.0,0.0,-1.0,1000.0
30.0,5433.062929469355,1.0,0.0,0.546527087688446,564.0
31.0,1898.5958456975322,1.0,1.0,0.5064288973808289,139.0
32.0,5414.41310651947,0.0,0.0,-1.0,1000.0
33.0,545.6153909833747,1.0,1.0,0.5067514181137085,28.0
34.0,5443.454638503158,0.0,0.0,-1.0,1000.0
35.0,5451.1982178495155,0.0,0.0,-1.0,1000.0
36.0,5445.552067589555,0.0,0.0,-1.0,1000.0
37.0,5437.18855211122,1.0,0.0,0.5328823328018188,318.0
38.0,5447.71795352895,0.0,0.0,-1.0,1000.0
39.0,5426.810234756209,0.0,0.0,-1.0,1000.0
40.0,5402.490699775153,0.0,0.0,-1.0,1000.0
