Episode,Reward,Pre,True,Probabilities,Steps
0.0,5407.856305077407,0.0,0.0,-1.0,1000.0
1.0,5413.643563876876,0.0,0.0,-1.0,1000.0
2.0,5335.211424179132,1.0,0.0,0.5244924426078796,879.0
3.0,3999.7093464051204,1.0,1.0,0.7264481782913208,52.0
4.0,4763.84690645332,1.0,1.0,0.5554200410842896,40.0
5.0,5417.072560741481,0.0,0.0,-1.0,1000.0
6.0,5453.123332466058,0.0,0.0,-1.0,1000.0
7.0,5446.868130171778,0.0,0.0,-1.0,1000.0
8.0,2948.1023544009904,1.0,1.0,0.7696961164474487,19.0
9.0,5438.581838557304,0.0,0.0,-1.0,1000.0
10.0,5459.071212545564,0.0,0.0,-1.0,1000.0
11.0,5404.551471415332,0.0,0.0,-1.0,1000.0
12.0,5444.788869964298,0.0,0.0,-1.0,1000.0
13.0,5455.707933421731,0.0,0.0,-1.0,1000.0
14.0,5436.522360484308,0.0,0.0,-1.0,1000.0
15.0,5420.244609616295,0.0,0.0,-1.0,1000.0
16.0,5455.637445692672,0.0,0.0,-1.0,1000.0
17.0,5436.905737976388,0.0,0.0,-1.0,1000.0
18.0,5417.671350654277,0.0,0.0,-1.0,1000.0
19.0,5420.6488578932285,0.0,0.0,-1.0,1000.0
20.0,5426.978783347798,0.0,0.0,-1.0,1000.0
21.0,5280.591930417642,1.0,0.0,0.5037042498588562,17.0
22.0,5440.827868187925,0.0,0.0,-1.0,1000.0
23.0,5436.860772504847,0.0,0.0,-1.0,1000.0
24.0,5394.597189892004,0.0,0.0,-1.0,1000.0
25.0,5436.849681056453,0.0,0.0,-1.0,1000.0
26.0,5447.338431939614,0.0,0.0,-1.0,1000.0
27.0,5420.523996489064,0.0,0.0,-1.0,1000.0
28.0,5424.07022355373,0.0,0.0,-1.0,1000.0
29.0,5429.968821631575,0.0,0.0,-1.0,1000.0
30.0,5455.530749539579,0.0,0.0,-1.0,1000.0
31.0,5431.380578184484,0.0,0.0,-1.0,1000.0
32.0,5404.96119183049,0.0,0.0,-1.0,1000.0
33.0,5428.339900435654,0.0,0.0,-1.0,1000.0
34.0,5406.635725881911,0.0,0.0,-1.0,1000.0
35.0,5424.156276848993,0.0,0.0,-1.0,1000.0
36.0,5419.304510645618,0.0,0.0,-1.0,1000.0
37.0,5431.796055784052,0.0,0.0,-1.0,1000.0
38.0,5433.373330647582,0.0,0.0,-1.0,1000.0
39.0,5413.775782414619,0.0,0.0,-1.0,1000.0
40.0,1080.1228069660508,1.0,1.0,0.5507391691207886,49.0
41.0,5462.661686222574,0.0,0.0,-1.0,1000.0
42.0,5421.187937702882,0.0,0.0,-1.0,1000.0
43.0,5440.467708318879,0.0,0.0,-1.0,1000.0
44.0,5434.0366075076045,0.0,0.0,-1.0,1000.0
45.0,5435.091887396253,0.0,0.0,-1.0,1000.0
46.0,5427.409653611331,0.0,0.0,-1.0,1000.0
47.0,5414.9692351311105,0.0,0.0,-1.0,1000.0
48.0,2283.0996248216843,1.0,1.0,0.5076785683631897,35.0
49.0,2385.1603210216495,1.0,1.0,0.50877445936203,43.0
50.0,5438.856259816526,0.0,0.0,-1.0,1000.0
51.0,2407.4122045772733,1.0,1.0,0.5255239009857178,35.0
52.0,5423.634169019736,0.0,0.0,-1.0,1000.0
53.0,5425.568509725983,0.0,0.0,-1.0,1000.0
54.0,5420.800473411078,0.0,0.0,-1.0,1000.0
55.0,5431.512974733781,0.0,0.0,-1.0,1000.0
56.0,5414.448934282268,0.0,0.0,-1.0,1000.0
57.0,5409.059865281687,0.0,0.0,-1.0,1000.0
58.0,5436.349617396407,0.0,0.0,-1.0,1000.0
59.0,5424.259962896454,0.0,0.0,-1.0,1000.0
60.0,5442.208164734392,0.0,0.0,-1.0,1000.0
61.0,5390.660709849913,0.0,0.0,-1.0,1000.0
62.0,5423.155610860765,0.0,0.0,-1.0,1000.0
63.0,5397.756444241977,0.0,0.0,-1.0,1000.0
64.0,5430.506407310947,0.0,0.0,-1.0,1000.0
65.0,5435.1704049672635,0.0,0.0,-1.0,1000.0
66.0,5420.620355895126,0.0,0.0,-1.0,1000.0
67.0,4216.277084463033,1.0,1.0,0.5906473398208618,51.0
68.0,5454.820870672181,0.0,0.0,-1.0,1000.0
69.0,5447.634120866766,0.0,0.0,-1.0,1000.0
70.0,5437.797439648681,0.0,0.0,-1.0,1000.0
71.0,5417.878404474765,0.0,0.0,-1.0,1000.0
72.0,5414.111803001023,0.0,0.0,-1.0,1000.0
73.0,5433.058227247796,0.0,0.0,-1.0,1000.0
74.0,5414.75664459197,0.0,0.0,-1.0,1000.0
75.0,5424.880820948973,0.0,0.0,-1.0,1000.0
76.0,5432.610737655376,0.0,0.0,-1.0,1000.0
77.0,5425.999168062502,0.0,0.0,-1.0,1000.0
78.0,5427.302467284257,0.0,0.0,-1.0,1000.0
79.0,5355.705421258546,1.0,0.0,0.6387590765953064,107.0
80.0,5451.886233448128,0.0,0.0,-1.0,1000.0
81.0,5407.868522377596,0.0,0.0,-1.0,1000.0
82.0,5435.528741610092,0.0,0.0,-1.0,1000.0
83.0,5443.47661959353,0.0,0.0,-1.0,1000.0
84.0,3058.1859243854697,1.0,1.0,0.6167504787445068,14.0
85.0,2457.952464349633,1.0,1.0,0.8446990847587585,29.0
86.0,5432.469145022675,0.0,0.0,-1.0,1000.0
87.0,5430.234278124593,0.0,0.0,-1.0,1000.0
88.0,5446.335216493722,1.0,0.0,0.690231204032898,246.0
89.0,5207.630844691069,1.0,0.0,0.5776309370994568,285.0
90.0,5410.247518736582,0.0,0.0,-1.0,1000.0
91.0,5445.081582428464,0.0,0.0,-1.0,1000.0
92.0,5426.469784325558,0.0,0.0,-1.0,1000.0
93.0,5435.556364984281,0.0,0.0,-1.0,1000.0
94.0,5439.139161502345,0.0,0.0,-1.0,1000.0
95.0,5426.323720076588,0.0,0.0,-1.0,1000.0
96.0,711.6582148015631,1.0,1.0,0.6538153886795044,32.0
97.0,5432.804843607608,0.0,0.0,-1.0,1000.0
98.0,5444.855097142703,0.0,0.0,-1.0,1000.0
99.0,5428.47038877197,0.0,0.0,-1.0,1000.0
100.0,5447.482293801805,0.0,0.0,-1.0,1000.0
101.0,5435.559265589996,0.0,0.0,-1.0,1000.0
102.0,5384.169638802463,0.0,0.0,-1.0,1000.0
103.0,5426.182002840382,0.0,0.0,-1.0,1000.0
104.0,5428.231573265866,0.0,0.0,-1.0,1000.0
105.0,5424.950143513717,0.0,0.0,-1.0,1000.0
106.0,5441.004556307109,0.0,0.0,-1.0,1000.0
107.0,5418.177185114817,0.0,0.0,-1.0,1000.0
108.0,5440.936415104537,0.0,0.0,-1.0,1000.0
109.0,5445.305002462505,0.0,0.0,-1.0,1000.0
110.0,5424.15942412947,0.0,0.0,-1.0,1000.0
111.0,5397.123128477409,0.0,0.0,-1.0,1000.0
112.0,5421.553893788828,1.0,0.0,0.5049853920936584,541.0
113.0,5409.193935065719,0.0,0.0,-1.0,1000.0
114.0,5408.380656802116,0.0,0.0,-1.0,1000.0
115.0,5424.918682325823,0.0,0.0,-1.0,1000.0
116.0,5455.524626826432,0.0,0.0,-1.0,1000.0
117.0,1844.124780693735,1.0,1.0,0.6006266474723816,26.0
118.0,5412.535761099367,0.0,0.0,-1.0,1000.0
119.0,1628.8227417495236,1.0,1.0,0.6582352519035339,54.0
120.0,1304.8709273560496,1.0,1.0,0.6833423376083374,26.0
121.0,5426.290692109933,0.0,0.0,-1.0,1000.0
122.0,5448.438188938117,0.0,0.0,-1.0,1000.0
123.0,5431.436718115191,0.0,0.0,-1.0,1000.0
124.0,5453.6130778274155,0.0,0.0,-1.0,1000.0
125.0,5458.201495844622,0.0,0.0,-1.0,1000.0
126.0,2604.5047087614857,1.0,1.0,0.5984418392181396,54.0
127.0,5376.792373697567,0.0,0.0,-1.0,1000.0
128.0,5413.729230393712,0.0,0.0,-1.0,1000.0
129.0,3242.684698065965,1.0,1.0,0.7744606137275696,24.0
130.0,5420.9533709745,0.0,0.0,-1.0,1000.0
131.0,5451.729643799062,0.0,0.0,-1.0,1000.0
132.0,5404.061911639433,0.0,0.0,-1.0,1000.0
133.0,5430.0043981036615,0.0,0.0,-1.0,1000.0
134.0,5396.125296616373,0.0,0.0,-1.0,1000.0
135.0,5418.433532539434,0.0,0.0,-1.0,1000.0
136.0,5407.589138943249,0.0,0.0,-1.0,1000.0
137.0,5461.08283420493,0.0,0.0,-1.0,1000.0
138.0,3799.5825048644238,1.0,1.0,0.5728028416633606,26.0
139.0,5420.5835807381245,0.0,0.0,-1.0,1000.0
140.0,5452.50688860299,0.0,0.0,-1.0,1000.0
141.0,5445.270779978653,0.0,0.0,-1.0,1000.0
142.0,5435.837401641191,0.0,0.0,-1.0,1000.0
143.0,5388.933788868552,0.0,0.0,-1.0,1000.0
144.0,5437.3555741745895,0.0,0.0,-1.0,1000.0
145.0,5422.378747421903,0.0,0.0,-1.0,1000.0
146.0,5407.013533847936,0.0,0.0,-1.0,1000.0
147.0,1896.191396183745,1.0,1.0,0.7573968172073364,45.0
148.0,5426.862698816336,0.0,0.0,-1.0,1000.0
149.0,5295.149543077218,1.0,0.0,0.6873092651367188,884.0
150.0,5450.567850730992,0.0,0.0,-1.0,1000.0
151.0,5419.890457202942,0.0,0.0,-1.0,1000.0
152.0,5424.093359987863,0.0,0.0,-1.0,1000.0
153.0,5443.451006159364,0.0,0.0,-1.0,1000.0
154.0,5470.841511764499,0.0,0.0,-1.0,1000.0
155.0,5448.463407697317,0.0,0.0,-1.0,1000.0
156.0,5414.572465953291,0.0,0.0,-1.0,1000.0
157.0,5408.5684869345305,0.0,0.0,-1.0,1000.0
158.0,5445.207588017324,0.0,0.0,-1.0,1000.0
159.0,5436.054625265507,0.0,0.0,-1.0,1000.0
160.0,5462.488606949149,1.0,0.0,0.5336450934410095,372.0
161.0,5349.7414249821795,0.0,0.0,-1.0,1000.0
162.0,5433.148845850012,0.0,0.0,-1.0,1000.0
163.0,5441.896651688227,0.0,0.0,-1.0,1000.0
164.0,5433.2655812022485,0.0,0.0,-1.0,1000.0
165.0,5408.259180644078,0.0,0.0,-1.0,1000.0
166.0,5472.612723328819,0.0,0.0,-1.0,1000.0
