Episode,Reward,Pre,True,Probabilities,Steps
0.0,5421.716514082958,1.0,0.0,-1.0,612.0
1.0,5403.534188791219,1.0,0.0,-1.0,815.0
2.0,5447.162448086666,1.0,0.0,-1.0,260.0
3.0,5433.12778179315,1.0,0.0,-1.0,88.0
4.0,5434.928631712506,1.0,0.0,-1.0,557.0
5.0,5432.211118197136,1.0,0.0,-1.0,790.0
6.0,5405.343419553364,1.0,0.0,-1.0,685.0
7.0,5404.103409401342,1.0,0.0,-1.0,439.0
8.0,4121.545025193962,1.0,1.0,-1.0,72.0
9.0,5444.800331509625,0.0,0.0,-1.0,1000.0
10.0,5420.401899863888,1.0,0.0,-1.0,971.0
11.0,5446.335944252184,1.0,0.0,-1.0,597.0
12.0,4492.798991741777,1.0,1.0,-1.0,355.0
13.0,5424.354458631101,1.0,0.0,-1.0,567.0
14.0,5452.636031949119,1.0,0.0,-1.0,755.0
15.0,5363.096300264565,1.0,0.0,-1.0,886.0
16.0,5449.782781151667,1.0,0.0,-1.0,697.0
17.0,5440.432176470025,0.0,0.0,-1.0,1000.0
18.0,5430.597864813181,1.0,0.0,-1.0,213.0
19.0,5413.294882840378,1.0,0.0,-1.0,674.0
20.0,3171.949605180743,1.0,1.0,-1.0,571.0
21.0,5436.891606986843,1.0,0.0,-1.0,867.0
22.0,5423.163166885614,0.0,0.0,-1.0,1000.0
23.0,5452.688439086812,0.0,0.0,-1.0,1000.0
24.0,5445.513803510074,1.0,0.0,-1.0,979.0
25.0,5454.878491700494,0.0,0.0,-1.0,1000.0
26.0,5451.309887492086,0.0,0.0,-1.0,1000.0
27.0,5440.940851459973,1.0,0.0,-1.0,776.0
28.0,5453.612070447671,1.0,0.0,-1.0,852.0
29.0,5448.499089848837,1.0,0.0,-1.0,876.0
30.0,5435.593131712104,1.0,0.0,-1.0,972.0
31.0,5407.069426481376,0.0,0.0,-1.0,1000.0
32.0,5438.319999617239,1.0,0.0,-1.0,874.0
33.0,5465.742815592026,1.0,0.0,-1.0,571.0
34.0,5452.02815574068,1.0,0.0,-1.0,581.0
35.0,5432.011505445673,1.0,0.0,-1.0,680.0
36.0,5431.051772413024,1.0,0.0,-1.0,958.0
37.0,5459.007531417717,0.0,0.0,-1.0,1000.0
38.0,5421.069544438915,1.0,0.0,-1.0,716.0
39.0,5417.318606401111,1.0,0.0,-1.0,730.0
40.0,5424.259486942834,1.0,0.0,-1.0,557.0
41.0,5430.936011390449,1.0,0.0,-1.0,802.0
42.0,5457.148774878358,0.0,0.0,-1.0,1000.0
43.0,5417.46631289305,0.0,0.0,-1.0,1000.0
44.0,5428.398549370075,1.0,0.0,-1.0,348.0
45.0,2585.2277103179554,1.0,1.0,-1.0,330.0
46.0,5442.583882830256,1.0,0.0,-1.0,924.0
47.0,5426.3702079798795,1.0,0.0,-1.0,186.0
48.0,5417.941083437073,1.0,0.0,-1.0,939.0
49.0,5437.579200914909,1.0,0.0,-1.0,943.0
50.0,5434.342077242952,0.0,0.0,-1.0,1000.0
51.0,5400.01185331731,0.0,0.0,-1.0,1000.0
52.0,5446.318726557896,0.0,0.0,-1.0,1000.0
53.0,5439.149260881761,1.0,0.0,-1.0,822.0
54.0,5445.193742740616,0.0,0.0,-1.0,1000.0
55.0,5410.546057838067,1.0,0.0,-1.0,225.0
56.0,5419.49055464662,1.0,0.0,-1.0,137.0
57.0,5421.95457230339,1.0,0.0,-1.0,971.0
58.0,5454.965162574979,0.0,0.0,-1.0,1000.0
59.0,5398.221959757854,1.0,0.0,-1.0,623.0
60.0,5414.604185853009,1.0,0.0,-1.0,494.0
61.0,5454.569160229676,0.0,0.0,-1.0,1000.0
62.0,5423.632423553826,0.0,0.0,-1.0,1000.0
63.0,5454.08112904516,1.0,0.0,-1.0,34.0
64.0,5438.0826179586375,1.0,0.0,-1.0,240.0
65.0,5423.397147385341,1.0,0.0,-1.0,661.0
66.0,5359.139636062384,1.0,0.0,-1.0,682.0
67.0,5420.144415872905,1.0,0.0,-1.0,568.0
68.0,5435.216317850359,1.0,0.0,-1.0,153.0
69.0,5444.22142765907,0.0,0.0,-1.0,1000.0
70.0,5448.729472217707,1.0,0.0,-1.0,980.0
71.0,5440.234138129254,0.0,0.0,-1.0,1000.0
72.0,5443.603681646039,0.0,0.0,-1.0,1000.0
73.0,5420.6340539850535,1.0,0.0,-1.0,434.0
74.0,5450.924694528528,1.0,0.0,-1.0,633.0
75.0,3272.5252919215695,1.0,1.0,-1.0,97.0
76.0,5426.8125600762405,1.0,0.0,-1.0,805.0
77.0,5465.643822852334,1.0,0.0,-1.0,908.0
78.0,5463.644325568315,0.0,0.0,-1.0,1000.0
79.0,5454.452403955127,1.0,0.0,-1.0,971.0
80.0,5440.492081178391,1.0,0.0,-1.0,972.0
81.0,3107.085599418966,1.0,1.0,-1.0,219.0
82.0,5429.259014842428,1.0,0.0,-1.0,471.0
83.0,5406.113811708407,1.0,0.0,-1.0,748.0
84.0,4470.166399617984,1.0,1.0,-1.0,28.0
85.0,5391.666465941708,1.0,0.0,-1.0,971.0
86.0,5427.006818735219,1.0,0.0,-1.0,567.0
87.0,5448.646794487072,0.0,0.0,-1.0,1000.0
88.0,5454.195563390217,0.0,0.0,-1.0,1000.0
89.0,5434.413051813291,0.0,0.0,-1.0,1000.0
90.0,5381.520803218694,1.0,0.0,-1.0,976.0
91.0,5320.565524113621,1.0,0.0,-1.0,369.0
92.0,5435.318811434167,1.0,0.0,-1.0,26.0
93.0,5463.056619099647,1.0,0.0,-1.0,980.0
94.0,5431.482664327769,0.0,0.0,-1.0,1000.0
95.0,5430.19525183113,1.0,0.0,-1.0,951.0
96.0,5426.547213445235,1.0,0.0,-1.0,551.0
97.0,5358.049590641657,1.0,0.0,-1.0,451.0
98.0,5441.860653405051,1.0,0.0,-1.0,514.0
99.0,5421.015157627569,0.0,0.0,-1.0,1000.0
100.0,5419.368384738981,1.0,0.0,-1.0,764.0
101.0,5435.064871703903,1.0,0.0,-1.0,978.0
102.0,5192.020486874775,1.0,0.0,-1.0,518.0
103.0,5426.662763697943,1.0,0.0,-1.0,290.0
104.0,5428.351980370047,1.0,0.0,-1.0,972.0
105.0,5413.966831612699,1.0,0.0,-1.0,749.0
106.0,5442.2813284992635,1.0,0.0,-1.0,538.0
107.0,5441.243691836583,0.0,0.0,-1.0,1000.0
108.0,5423.237376215891,1.0,0.0,-1.0,961.0
109.0,2502.907334028052,1.0,1.0,-1.0,165.0
110.0,5406.878961336894,1.0,0.0,-1.0,104.0
111.0,5354.742507242478,1.0,0.0,-1.0,939.0
112.0,4647.383426758227,1.0,1.0,-1.0,24.0
113.0,5473.236445284631,1.0,0.0,-1.0,226.0
114.0,5411.067294203122,1.0,0.0,-1.0,740.0
115.0,2516.463867904085,1.0,1.0,-1.0,435.0
116.0,5427.636947719997,0.0,0.0,-1.0,1000.0
117.0,5239.764469520416,1.0,1.0,-1.0,232.0
118.0,5407.196820640862,1.0,0.0,-1.0,693.0
119.0,5419.709517151062,0.0,0.0,-1.0,1000.0
120.0,5428.10257810242,0.0,0.0,-1.0,1000.0
121.0,5430.403975944724,0.0,0.0,-1.0,1000.0
122.0,5285.716330367794,1.0,0.0,-1.0,936.0
123.0,5449.627376713291,1.0,0.0,-1.0,507.0
124.0,5442.861114128786,0.0,0.0,-1.0,1000.0
125.0,5418.173569439035,1.0,0.0,-1.0,978.0
126.0,5481.831857188153,1.0,0.0,-1.0,870.0
127.0,5427.337423775004,1.0,0.0,-1.0,797.0
128.0,5439.57680376843,1.0,0.0,-1.0,905.0
129.0,5421.298876681374,0.0,0.0,-1.0,1000.0
130.0,5260.526147310104,1.0,1.0,-1.0,137.0
131.0,5463.394738278306,1.0,0.0,-1.0,44.0
132.0,5438.681915264602,1.0,0.0,-1.0,169.0
133.0,2550.39280890976,1.0,1.0,-1.0,167.0
134.0,5430.332178440519,0.0,0.0,-1.0,1000.0
135.0,5443.435580759514,1.0,0.0,-1.0,661.0
136.0,5437.986864326965,1.0,0.0,-1.0,586.0
137.0,5424.531753159442,1.0,0.0,-1.0,80.0
138.0,2787.6824958078437,1.0,1.0,-1.0,10.0
139.0,4225.946636533261,1.0,1.0,-1.0,382.0
140.0,5442.805064531168,0.0,0.0,-1.0,1000.0
