Episode,Reward,Pre,True,Probabilities,Steps
0.0,9320.904535209223,0.0,0.0,-1.0,1000.0
1.0,9320.321904939228,0.0,0.0,-1.0,1000.0
2.0,9320.856623106796,0.0,0.0,-1.0,1000.0
3.0,9321.105750048211,0.0,0.0,-1.0,1000.0
4.0,9322.096266627907,0.0,0.0,-1.0,1000.0
5.0,9322.293759689624,0.0,0.0,-1.0,1000.0
6.0,9319.982185351888,0.0,0.0,-1.0,1000.0
7.0,9321.53240187935,0.0,0.0,-1.0,1000.0
8.0,1070.7084752209155,1.0,1.0,0.5481637716293335,8.0
9.0,9320.910296391487,0.0,0.0,-1.0,1000.0
10.0,9319.86607150844,0.0,0.0,-1.0,1000.0
11.0,9322.854710812624,0.0,0.0,-1.0,1000.0
12.0,9321.799008430158,0.0,0.0,-1.0,1000.0
13.0,7362.527995348326,1.0,1.0,0.536507785320282,6.0
14.0,9322.77154594388,0.0,0.0,-1.0,1000.0
15.0,9321.815122628019,0.0,0.0,-1.0,1000.0
16.0,6354.106928081502,1.0,1.0,0.5462000966072083,8.0
17.0,9321.37673717104,0.0,0.0,-1.0,1000.0
18.0,9322.034405764409,0.0,0.0,-1.0,1000.0
19.0,9322.082271532394,0.0,0.0,-1.0,1000.0
20.0,9322.029686642192,0.0,0.0,-1.0,1000.0
21.0,9321.024488987245,0.0,0.0,-1.0,1000.0
22.0,9322.189580880326,0.0,0.0,-1.0,1000.0
23.0,9321.38136531117,0.0,0.0,-1.0,1000.0
24.0,4966.374160372427,1.0,1.0,0.5751668810844421,6.0
25.0,9318.707147882078,0.0,0.0,-1.0,1000.0
26.0,9322.493021876862,0.0,0.0,-1.0,1000.0
27.0,9321.261101086706,0.0,0.0,-1.0,1000.0
28.0,3568.1901564463647,1.0,1.0,0.5298963785171509,9.0
29.0,9321.89005814513,0.0,0.0,-1.0,1000.0
30.0,6317.249417179319,1.0,1.0,0.5418864488601685,6.0
31.0,9182.379938778511,1.0,1.0,0.6440728902816772,5.0
32.0,9321.443140900035,0.0,0.0,-1.0,1000.0
33.0,9320.064463747012,0.0,0.0,-1.0,1000.0
34.0,4032.6072922150656,1.0,1.0,0.545966386795044,47.0
35.0,9321.184508018123,0.0,0.0,-1.0,1000.0
36.0,9322.40910196038,0.0,0.0,-1.0,1000.0
37.0,9318.887045942049,0.0,0.0,-1.0,1000.0
38.0,9323.199523503632,0.0,0.0,-1.0,1000.0
39.0,9321.722756747922,0.0,0.0,-1.0,1000.0
40.0,1078.6809576715632,1.0,1.0,0.5115299224853516,6.0
41.0,7261.2162599816575,1.0,1.0,0.5168585181236267,6.0
42.0,9320.454825624458,0.0,0.0,-1.0,1000.0
43.0,9320.807129377215,0.0,0.0,-1.0,1000.0
44.0,9320.474869820073,0.0,0.0,-1.0,1000.0
45.0,9322.117639739572,0.0,0.0,-1.0,1000.0
46.0,5329.313662146044,1.0,1.0,0.6412091851234436,5.0
47.0,9321.605331643406,0.0,0.0,-1.0,1000.0
48.0,9320.538002207968,0.0,0.0,-1.0,1000.0
