Episode,Reward,Pre,True,Probabilities,Steps
0.0,9322.622685475742,0.0,0.0,-1.0,1000.0
1.0,1899.787388212086,1.0,1.0,0.9256330728530884,6.0
2.0,9320.154396070826,0.0,0.0,-1.0,1000.0
3.0,9321.48949666848,0.0,0.0,-1.0,1000.0
4.0,9320.178155119487,0.0,0.0,-1.0,1000.0
5.0,7750.67871997817,1.0,1.0,0.663195013999939,22.0
6.0,3502.6255132061915,1.0,1.0,0.838567316532135,5.0
7.0,9321.05230873355,0.0,0.0,-1.0,1000.0
8.0,9322.278845898281,0.0,0.0,-1.0,1000.0
9.0,9320.557830390866,0.0,0.0,-1.0,1000.0
10.0,788.3171635883621,1.0,1.0,0.5264344811439514,22.0
11.0,9321.035671381995,0.0,0.0,-1.0,1000.0
12.0,9322.318758342974,0.0,0.0,-1.0,1000.0
13.0,9322.163187690368,0.0,0.0,-1.0,1000.0
14.0,9320.723948679291,0.0,0.0,-1.0,1000.0
15.0,9320.805304171525,0.0,0.0,-1.0,1000.0
16.0,9320.217259113431,0.0,0.0,-1.0,1000.0
17.0,9322.31889827335,0.0,0.0,-1.0,1000.0
18.0,9322.235103488756,0.0,0.0,-1.0,1000.0
19.0,5012.17594348749,1.0,1.0,0.9809640645980835,4.0
20.0,4853.047583269364,1.0,1.0,0.5669169425964355,21.0
21.0,9321.37529887097,0.0,0.0,-1.0,1000.0
22.0,927.5356283835624,1.0,1.0,0.9807774424552917,20.0
23.0,9322.242613775528,0.0,0.0,-1.0,1000.0
24.0,8069.666492279589,1.0,1.0,0.7419092655181885,4.0
25.0,3604.7036754228566,1.0,1.0,0.5544887781143188,9.0
26.0,9320.72799637371,0.0,0.0,-1.0,1000.0
27.0,9320.281738342032,0.0,0.0,-1.0,1000.0
28.0,9321.591533663923,0.0,0.0,-1.0,1000.0
29.0,7483.067570589867,1.0,1.0,0.8390985131263733,15.0
30.0,7519.305439951062,1.0,1.0,0.5742873549461365,19.0
31.0,9320.30554802985,0.0,0.0,-1.0,1000.0
32.0,9321.170931070748,0.0,0.0,-1.0,1000.0
33.0,9319.971430542264,0.0,0.0,-1.0,1000.0
34.0,9322.364417188699,0.0,0.0,-1.0,1000.0
35.0,2709.3043309093196,1.0,1.0,0.8304790258407593,23.0
36.0,9321.369836322407,0.0,0.0,-1.0,1000.0
37.0,9321.727397440021,0.0,0.0,-1.0,1000.0
38.0,5542.821446050953,1.0,1.0,0.524318277835846,22.0
39.0,9322.632495490587,0.0,0.0,-1.0,1000.0
40.0,5962.45246714275,1.0,1.0,0.5343091487884521,20.0
41.0,6355.10003760889,1.0,1.0,0.9160774946212769,4.0
42.0,9319.452899672648,0.0,0.0,-1.0,1000.0
43.0,9322.08471470437,0.0,0.0,-1.0,1000.0
44.0,7510.545259807582,1.0,1.0,0.6277850270271301,5.0
45.0,9321.152487171757,0.0,0.0,-1.0,1000.0
46.0,9321.58293546366,0.0,0.0,-1.0,1000.0
47.0,6542.864862193721,1.0,1.0,0.9050349593162537,5.0
48.0,7332.173386262554,1.0,1.0,0.6510066986083984,20.0
49.0,9321.204446161993,0.0,0.0,-1.0,1000.0
50.0,4462.3840681258935,1.0,1.0,0.8957045674324036,4.0
