Episode,Reward,Pre,True,Probabilities,Steps
0.0,9320.439328309994,0.0,0.0,-1.0,1000.0
1.0,2699.76873098291,1.0,1.0,-1.0,1.0
2.0,3520.2353686599604,1.0,1.0,-1.0,4.0
3.0,4600.396778078289,1.0,1.0,-1.0,1.0
4.0,2707.785960457609,1.0,1.0,-1.0,9.0
5.0,8319.864351213531,1.0,1.0,-1.0,2.0
6.0,9319.93323566187,0.0,0.0,-1.0,1000.0
7.0,9321.024765833256,0.0,0.0,-1.0,1000.0
8.0,9321.068699779107,0.0,0.0,-1.0,1000.0
9.0,9320.70212863203,0.0,0.0,-1.0,1000.0
10.0,9322.338350633629,0.0,0.0,-1.0,1000.0
11.0,9320.747034299968,0.0,0.0,-1.0,1000.0
12.0,2439.217697482642,1.0,1.0,-1.0,2.0
13.0,9321.760286481403,0.0,0.0,-1.0,1000.0
14.0,9321.634522526634,0.0,0.0,-1.0,1000.0
15.0,7829.472862092751,1.0,1.0,-1.0,9.0
16.0,2346.493664924427,1.0,1.0,-1.0,6.0
17.0,9321.070356586117,0.0,0.0,-1.0,1000.0
18.0,9322.118901195865,0.0,0.0,-1.0,1000.0
19.0,9321.367839068957,0.0,0.0,-1.0,1000.0
20.0,9320.952891133344,0.0,0.0,-1.0,1000.0
21.0,9323.675789312303,0.0,0.0,-1.0,1000.0
22.0,9320.99790243469,0.0,0.0,-1.0,1000.0
23.0,4246.983759355357,1.0,0.0,-1.0,8.0
24.0,9321.133434368334,0.0,0.0,-1.0,1000.0
25.0,9321.649385925526,0.0,0.0,-1.0,1000.0
26.0,9320.770736414965,0.0,0.0,-1.0,1000.0
27.0,7031.8162741118385,1.0,1.0,-1.0,5.0
28.0,9321.242380257461,0.0,0.0,-1.0,1000.0
29.0,9320.990553604814,0.0,0.0,-1.0,1000.0
30.0,1871.0151965965704,1.0,1.0,-1.0,10.0
31.0,9321.06255010489,0.0,0.0,-1.0,1000.0
32.0,1245.4690880913308,1.0,1.0,-1.0,4.0
33.0,9320.654208319293,0.0,0.0,-1.0,1000.0
34.0,9319.535715454187,0.0,0.0,-1.0,1000.0
35.0,9320.232180749897,0.0,0.0,-1.0,1000.0
36.0,9319.896011321625,0.0,0.0,-1.0,1000.0
37.0,9321.15393420392,0.0,0.0,-1.0,1000.0
38.0,1731.3466780976878,1.0,1.0,-1.0,11.0
39.0,9320.135581381312,0.0,0.0,-1.0,1000.0
40.0,9320.43850906315,0.0,0.0,-1.0,1000.0
41.0,2717.532185829706,1.0,1.0,-1.0,9.0
42.0,7743.511743743938,1.0,1.0,-1.0,6.0
43.0,9321.17803009812,0.0,0.0,-1.0,1000.0
44.0,9321.350433225207,0.0,0.0,-1.0,1000.0
45.0,9323.153552919606,0.0,0.0,-1.0,1000.0
46.0,9322.14074806245,0.0,0.0,-1.0,1000.0
47.0,9321.77279939375,0.0,0.0,-1.0,1000.0
48.0,5440.343001449987,1.0,1.0,-1.0,8.0
49.0,8936.662184362283,1.0,1.0,-1.0,22.0
