Episode,Reward,Pre,True,Probabilities,Steps
0.0,179.446642262907,1.0,1.0,0.778976321220398,43.0
1.0,4516.446196653675,0.0,0.0,-1.0,1000.0
2.0,143.71576948241386,1.0,1.0,0.556447446346283,19.0
3.0,4368.2475691715,0.0,0.0,-1.0,1000.0
4.0,4526.267506558984,0.0,0.0,-1.0,1000.0
5.0,4682.591268347264,0.0,0.0,-1.0,1000.0
6.0,748.4823046618895,1.0,1.0,0.5740199685096741,160.0
7.0,4728.61217578446,1.0,0.0,0.6040439009666443,943.0
8.0,490.6462276811904,1.0,1.0,0.7065258026123047,120.0
9.0,4671.130140640209,0.0,0.0,-1.0,1000.0
10.0,4556.7416116192635,0.0,0.0,-1.0,1000.0
11.0,4531.010637319853,0.0,0.0,-1.0,1000.0
12.0,4615.972175836619,1.0,0.0,0.5177642703056335,918.0
13.0,4604.296797280809,0.0,0.0,-1.0,1000.0
14.0,556.6509485917551,1.0,1.0,0.6891664266586304,109.0
15.0,125.9343832376081,1.0,1.0,0.868614137172699,18.0
16.0,4615.520877458193,0.0,0.0,-1.0,1000.0
17.0,4575.740192004608,0.0,0.0,-1.0,1000.0
18.0,344.50765139470235,1.0,1.0,0.7070567011833191,56.0
19.0,4580.7253430073715,0.0,0.0,-1.0,1000.0
20.0,4581.275012849115,0.0,0.0,-1.0,1000.0
21.0,4581.023914922848,0.0,0.0,-1.0,1000.0
22.0,459.73020370909995,1.0,1.0,0.6511682271957397,53.0
23.0,329.0906947244431,1.0,1.0,0.8426287770271301,65.0
24.0,4694.829584605566,1.0,0.0,0.6902657747268677,947.0
25.0,4560.485107382821,0.0,0.0,-1.0,1000.0
26.0,541.9657615331091,1.0,1.0,0.7825687527656555,108.0
27.0,368.33148735705953,1.0,1.0,0.6792874932289124,86.0
28.0,421.3907953703793,1.0,1.0,0.5193349123001099,81.0
29.0,4683.451941909184,1.0,0.0,0.9002575278282166,940.0
30.0,307.04619149740006,1.0,1.0,0.6745595335960388,72.0
31.0,4574.371919573464,0.0,0.0,-1.0,1000.0
32.0,4597.336789375818,0.0,0.0,-1.0,1000.0
33.0,4713.437743422075,1.0,0.0,0.5163266062736511,933.0
34.0,4659.77491426878,0.0,0.0,-1.0,1000.0
35.0,4626.555835201922,0.0,0.0,-1.0,1000.0
36.0,4586.094814536107,1.0,0.0,0.5742801427841187,943.0
37.0,4624.62859288312,0.0,0.0,-1.0,1000.0
38.0,203.88357568561514,1.0,1.0,0.6190943121910095,21.0
39.0,4710.730839075863,1.0,0.0,0.8517645001411438,943.0
40.0,4576.758414860657,1.0,0.0,0.6132276654243469,942.0
41.0,4668.112502185246,0.0,0.0,-1.0,1000.0
42.0,4453.83869858771,0.0,0.0,-1.0,1000.0
43.0,167.86509235981345,1.0,1.0,0.6095499396324158,32.0
44.0,755.7717219964678,1.0,1.0,0.6075712442398071,158.0
45.0,4428.907295654851,0.0,0.0,-1.0,1000.0
46.0,4483.351004474044,0.0,0.0,-1.0,1000.0
47.0,4638.078206929215,0.0,0.0,-1.0,1000.0
48.0,4615.767611558225,1.0,0.0,0.5829574465751648,944.0
49.0,4548.691119834821,0.0,0.0,-1.0,1000.0
50.0,4515.5762262945545,0.0,0.0,-1.0,1000.0
51.0,156.84287546684445,1.0,1.0,0.9376850128173828,38.0
52.0,4636.738804191242,1.0,0.0,0.7416949272155762,942.0
53.0,144.75693724423402,1.0,1.0,0.731610894203186,27.0
54.0,4571.606112238299,1.0,0.0,0.6090180277824402,942.0
55.0,4673.583780945335,1.0,0.0,0.7213944792747498,933.0
56.0,4771.918650702701,0.0,0.0,-1.0,1000.0
57.0,4608.146206475212,0.0,0.0,-1.0,1000.0
58.0,4509.2563524156585,0.0,0.0,-1.0,1000.0
59.0,368.67037262991386,1.0,1.0,0.5113692283630371,89.0
60.0,138.44313928973483,1.0,1.0,0.7702333331108093,21.0
61.0,4589.86607509726,1.0,0.0,0.8407844305038452,941.0
62.0,459.3108723218035,1.0,1.0,0.5308471918106079,112.0
63.0,124.83208228304086,1.0,1.0,0.5593389272689819,17.0
64.0,4552.658746902028,0.0,0.0,-1.0,1000.0
65.0,4488.8210152567335,0.0,0.0,-1.0,1000.0
66.0,4553.983106994605,0.0,0.0,-1.0,1000.0
67.0,4614.083426692062,1.0,0.0,0.566267728805542,946.0
68.0,4607.75682127063,0.0,0.0,-1.0,1000.0
69.0,4626.06851494411,1.0,0.0,0.907600462436676,923.0
70.0,352.2090395592177,1.0,1.0,0.63750159740448,81.0
71.0,4629.000109622689,1.0,0.0,0.6932229399681091,932.0
72.0,4639.433727532285,1.0,0.0,0.5328822731971741,937.0
73.0,4505.6107719748925,0.0,0.0,-1.0,1000.0
74.0,4568.4105780888085,0.0,0.0,-1.0,1000.0
75.0,4645.474670112179,1.0,0.0,0.6885321736335754,942.0
76.0,4647.552326168877,0.0,0.0,-1.0,1000.0
77.0,359.43919774259405,1.0,1.0,0.5849942564964294,85.0
78.0,404.89393415226675,1.0,1.0,0.916260838508606,101.0
79.0,4644.778005910118,0.0,0.0,-1.0,1000.0
80.0,4494.281964003443,0.0,0.0,-1.0,1000.0
81.0,4689.0215998619615,1.0,0.0,0.7655211091041565,946.0
82.0,4501.6398633858935,1.0,0.0,0.8514122366905212,944.0
83.0,4665.792330142738,0.0,0.0,-1.0,1000.0
84.0,4576.272806052499,1.0,0.0,0.6982501149177551,939.0
85.0,356.6444573069219,1.0,1.0,0.8185524940490723,67.0
86.0,4639.896720175694,0.0,0.0,-1.0,1000.0
87.0,122.24191572053323,1.0,1.0,0.6700625419616699,18.0
88.0,4649.513857376921,1.0,0.0,0.6928162574768066,944.0
89.0,4619.880276345215,0.0,0.0,-1.0,1000.0
90.0,4632.604865725598,1.0,0.0,0.5456122159957886,944.0
91.0,4556.058978668118,0.0,0.0,-1.0,1000.0
92.0,4601.258858896837,1.0,0.0,0.5083884000778198,940.0
93.0,537.7197634592087,1.0,1.0,0.7285273671150208,125.0
94.0,4627.172805883772,0.0,0.0,-1.0,1000.0
95.0,4481.747550900245,0.0,0.0,-1.0,1000.0
96.0,4551.911106781539,0.0,0.0,-1.0,1000.0
97.0,4523.646603114932,0.0,0.0,-1.0,1000.0
98.0,4543.0786606974325,0.0,0.0,-1.0,1000.0
99.0,4628.768586859394,0.0,0.0,-1.0,1000.0
100.0,4685.764179225527,1.0,0.0,0.7483022809028625,934.0
101.0,4504.169464306732,0.0,0.0,-1.0,1000.0
102.0,4522.915303115546,1.0,0.0,0.6274306178092957,940.0
103.0,4590.462264709863,0.0,0.0,-1.0,1000.0
104.0,4634.121845819675,0.0,0.0,-1.0,1000.0
105.0,4468.252808272325,0.0,0.0,-1.0,1000.0
106.0,4644.4350502277875,0.0,0.0,-1.0,1000.0
107.0,4573.074842856313,0.0,0.0,-1.0,1000.0
108.0,4622.041227504977,1.0,0.0,0.8809818625450134,923.0
109.0,4697.349896274207,0.0,0.0,-1.0,1000.0
110.0,4550.317311356829,0.0,0.0,-1.0,1000.0
111.0,4539.072971961755,1.0,0.0,0.6940034031867981,916.0
112.0,164.9662558652799,1.0,1.0,0.6797991991043091,18.0
113.0,123.59754150720691,1.0,1.0,0.6403353214263916,20.0
114.0,4477.272648238156,0.0,0.0,-1.0,1000.0
115.0,116.40557095916769,1.0,1.0,0.6730170845985413,19.0
116.0,4189.123297987293,0.0,0.0,-1.0,1000.0
117.0,4620.295315897624,0.0,0.0,-1.0,1000.0
118.0,4618.682338139637,1.0,0.0,0.722861111164093,944.0
119.0,4558.159294601282,0.0,0.0,-1.0,1000.0
120.0,400.0210431990403,1.0,1.0,0.7358537316322327,73.0
121.0,4583.270149203658,1.0,0.0,0.739993155002594,940.0
122.0,4606.441104919774,0.0,0.0,-1.0,1000.0
123.0,4673.389999202432,0.0,0.0,-1.0,1000.0
124.0,4551.478436403875,0.0,0.0,-1.0,1000.0
125.0,4626.6710948515565,1.0,0.0,0.5226781368255615,945.0
126.0,4507.305258787891,0.0,0.0,-1.0,1000.0
127.0,4586.437199051112,0.0,0.0,-1.0,1000.0
128.0,4584.294284613226,0.0,0.0,-1.0,1000.0
129.0,125.82420417916265,1.0,1.0,0.9248268604278564,21.0
130.0,379.81036471883465,1.0,1.0,0.8356793522834778,70.0
131.0,4613.535529082067,1.0,0.0,0.5913352370262146,921.0
132.0,4578.979802330767,0.0,0.0,-1.0,1000.0
133.0,593.3643407416014,1.0,1.0,0.6196936964988708,145.0
134.0,4503.874077408709,0.0,0.0,-1.0,1000.0
135.0,494.00708475122406,1.0,1.0,0.6710793375968933,100.0
136.0,4592.276134519334,0.0,0.0,-1.0,1000.0
137.0,4572.486712523669,1.0,0.0,0.5143190026283264,939.0
138.0,4539.419300782257,0.0,0.0,-1.0,1000.0
139.0,4733.234655486645,1.0,0.0,0.6480792760848999,949.0
140.0,539.0228875753708,1.0,1.0,0.6114472150802612,104.0
141.0,4552.877966666596,0.0,0.0,-1.0,1000.0
142.0,4535.685567593103,0.0,0.0,-1.0,1000.0
143.0,387.30506178853926,1.0,1.0,0.5107702612876892,57.0
144.0,4658.79565802757,0.0,0.0,-1.0,1000.0
145.0,282.38261512687416,1.0,1.0,0.662693440914154,18.0
146.0,4563.481340601031,0.0,0.0,-1.0,1000.0
147.0,498.23276908179275,1.0,1.0,0.7545084357261658,115.0
148.0,4542.8507963210795,0.0,0.0,-1.0,1000.0
149.0,481.26314458263454,1.0,1.0,0.5626444816589355,90.0
150.0,123.73590562540386,1.0,1.0,0.954651951789856,17.0
151.0,4593.015353957076,0.0,0.0,-1.0,1000.0
152.0,4649.1001421056835,1.0,0.0,0.5035121440887451,945.0
153.0,4594.416039763018,0.0,0.0,-1.0,1000.0
154.0,4489.345451746516,0.0,0.0,-1.0,1000.0
155.0,4511.912130590855,0.0,0.0,-1.0,1000.0
156.0,4691.8096878599545,0.0,0.0,-1.0,1000.0
157.0,358.968474440476,1.0,1.0,0.6792752742767334,65.0
158.0,4453.259835767791,0.0,0.0,-1.0,1000.0
159.0,184.2539358962048,1.0,1.0,0.6459033489227295,38.0
160.0,4557.01339384082,0.0,0.0,-1.0,1000.0
161.0,146.07653199301222,1.0,1.0,0.8750744462013245,30.0
162.0,4576.865454144454,1.0,0.0,0.6519454121589661,938.0
163.0,4583.22114662386,1.0,0.0,0.542505145072937,935.0
164.0,4582.8327504153385,0.0,0.0,-1.0,1000.0
165.0,4662.732949068117,0.0,0.0,-1.0,1000.0
166.0,4733.968523429237,0.0,0.0,-1.0,1000.0
167.0,4564.257203632,0.0,0.0,-1.0,1000.0
168.0,161.9589313107259,1.0,1.0,0.615524172782898,22.0
169.0,4569.568507788817,0.0,0.0,-1.0,1000.0
170.0,4580.815814672969,0.0,0.0,-1.0,1000.0
171.0,4531.327143413523,0.0,0.0,-1.0,1000.0
172.0,497.1767905191593,1.0,1.0,0.5049956440925598,109.0
173.0,4609.04606483414,0.0,0.0,-1.0,1000.0
174.0,4553.00207983149,0.0,0.0,-1.0,1000.0
175.0,4582.941801880437,0.0,0.0,-1.0,1000.0
176.0,4637.528087557738,0.0,0.0,-1.0,1000.0
177.0,4613.65585894211,1.0,0.0,0.7381864786148071,944.0
178.0,342.26412102015274,1.0,1.0,0.7004655003547668,80.0
179.0,4675.346686222594,0.0,0.0,-1.0,1000.0
180.0,4588.796324571335,0.0,0.0,-1.0,1000.0
181.0,4582.49210645665,0.0,0.0,-1.0,1000.0
182.0,358.50388807049694,1.0,1.0,0.825514554977417,61.0
183.0,4585.3936316658555,1.0,0.0,0.6476483345031738,934.0
184.0,4489.57141977888,0.0,0.0,-1.0,1000.0
185.0,171.68597613641748,1.0,1.0,0.7089223861694336,45.0
186.0,4453.64431956739,1.0,0.0,0.5663371086120605,847.0
187.0,121.05905819866932,1.0,1.0,0.6293371915817261,17.0
188.0,578.2246290694442,1.0,1.0,0.6914638876914978,118.0
189.0,4618.030736198784,1.0,0.0,0.5363012552261353,940.0
190.0,4621.659721212017,0.0,0.0,-1.0,1000.0
191.0,149.32530224055898,1.0,1.0,0.6256341934204102,31.0
192.0,123.61314436917058,1.0,1.0,0.5441960692405701,13.0
193.0,4526.795148915967,0.0,0.0,-1.0,1000.0
194.0,4605.238742855529,0.0,0.0,-1.0,1000.0
195.0,342.0252197400441,1.0,1.0,0.7283817529678345,59.0
196.0,4607.239743020834,0.0,0.0,-1.0,1000.0
197.0,4597.498078287734,1.0,0.0,0.6052272915840149,948.0
198.0,4637.487559621828,0.0,0.0,-1.0,1000.0
199.0,4560.706844243795,0.0,0.0,-1.0,1000.0
200.0,564.668569993753,1.0,1.0,0.5423718690872192,54.0
201.0,392.82626212958,1.0,1.0,0.7104529738426208,73.0
202.0,4717.12937930215,0.0,0.0,-1.0,1000.0
203.0,4632.5924276858295,0.0,0.0,-1.0,1000.0
204.0,4546.971719107759,0.0,0.0,-1.0,1000.0
205.0,4517.545134987146,0.0,0.0,-1.0,1000.0
206.0,534.7107509857508,1.0,1.0,0.810389518737793,122.0
207.0,4547.9345825888795,0.0,0.0,-1.0,1000.0
