Episode,Reward,Pre,True,Probabilities,Steps
0.0,4573.794097393511,1.0,0.0,-1.0,955.0
1.0,4674.3745400462985,1.0,0.0,-1.0,953.0
2.0,4366.228199479694,1.0,0.0,-1.0,959.0
3.0,315.57591295667385,1.0,1.0,-1.0,81.0
4.0,4623.359645655388,1.0,0.0,-1.0,946.0
5.0,4531.015571265469,1.0,0.0,-1.0,948.0
6.0,4542.816125327363,1.0,0.0,-1.0,955.0
7.0,405.0080427167712,1.0,1.0,-1.0,111.0
8.0,4518.535718404842,1.0,0.0,-1.0,953.0
9.0,4577.129630892868,1.0,0.0,-1.0,958.0
10.0,4676.203809053323,1.0,0.0,-1.0,947.0
11.0,4572.43840570433,1.0,0.0,-1.0,953.0
12.0,4549.681705176847,1.0,0.0,-1.0,957.0
13.0,4506.988705454052,1.0,0.0,-1.0,956.0
14.0,4593.719856069285,1.0,0.0,-1.0,957.0
15.0,4596.568006615122,1.0,0.0,-1.0,951.0
16.0,4512.333532644374,1.0,0.0,-1.0,957.0
17.0,4668.123554840044,1.0,0.0,-1.0,956.0
18.0,136.04623970100502,1.0,1.0,-1.0,30.0
19.0,4623.662312031601,1.0,0.0,-1.0,955.0
20.0,4428.900398061232,1.0,0.0,-1.0,955.0
21.0,4578.093399294618,1.0,0.0,-1.0,954.0
22.0,4661.632393689044,1.0,0.0,-1.0,956.0
23.0,4427.683621692984,1.0,0.0,-1.0,956.0
24.0,4588.586584100916,1.0,0.0,-1.0,946.0
25.0,4593.104103188449,1.0,0.0,-1.0,950.0
26.0,750.4658010954652,1.0,1.0,-1.0,190.0
27.0,156.59555031474403,1.0,1.0,-1.0,38.0
28.0,4714.926624351415,1.0,0.0,-1.0,948.0
29.0,4635.075066630372,1.0,0.0,-1.0,949.0
30.0,4597.005281690622,1.0,0.0,-1.0,951.0
31.0,4602.763971099229,1.0,0.0,-1.0,953.0
32.0,4606.047556925024,1.0,0.0,-1.0,951.0
33.0,4598.212671634146,1.0,0.0,-1.0,955.0
34.0,467.2886170014678,1.0,1.0,-1.0,124.0
35.0,4568.078759854914,1.0,0.0,-1.0,957.0
36.0,4682.6366032209135,1.0,0.0,-1.0,959.0
37.0,4771.71023575718,1.0,0.0,-1.0,955.0
38.0,4662.9716756301095,1.0,0.0,-1.0,955.0
39.0,4583.864269549133,1.0,0.0,-1.0,955.0
40.0,4585.625804537957,1.0,0.0,-1.0,949.0
41.0,4589.406812377191,1.0,0.0,-1.0,956.0
42.0,4555.676785303199,1.0,0.0,-1.0,955.0
43.0,4439.680392363041,1.0,0.0,-1.0,957.0
44.0,134.19853253703133,1.0,1.0,-1.0,28.0
45.0,4658.971628665086,1.0,0.0,-1.0,953.0
46.0,4548.178970584958,1.0,0.0,-1.0,948.0
47.0,545.6933296556329,1.0,1.0,-1.0,143.0
48.0,129.03738698628817,1.0,1.0,-1.0,24.0
49.0,4605.2292484807795,1.0,0.0,-1.0,957.0
50.0,4512.265451440469,1.0,0.0,-1.0,957.0
51.0,197.50838618236756,1.0,1.0,-1.0,77.0
52.0,4597.057915519027,1.0,0.0,-1.0,953.0
53.0,4738.592599837411,1.0,0.0,-1.0,951.0
