Episode,Reward,Pre,True,Probabilities,Steps
0.0,5388.345939447798,0.0,0.0,-1.0,1000.0
1.0,5380.50737374193,0.0,0.0,-1.0,1000.0
2.0,5429.996268674822,0.0,0.0,-1.0,1000.0
3.0,5436.576248861177,0.0,0.0,-1.0,1000.0
4.0,5426.712541027619,0.0,0.0,-1.0,1000.0
5.0,5375.406362127504,0.0,0.0,-1.0,1000.0
6.0,5456.035099512856,0.0,0.0,-1.0,1000.0
7.0,5438.026344774698,0.0,0.0,-1.0,1000.0
8.0,5410.5479095557075,0.0,0.0,-1.0,1000.0
9.0,5438.242948959935,0.0,0.0,-1.0,1000.0
10.0,5415.817291618878,1.0,0.0,0.6643239855766296,14.0
11.0,4017.229490842449,1.0,1.0,0.728727400302887,47.0
12.0,5446.118969658728,0.0,0.0,-1.0,1000.0
13.0,5405.558798694912,0.0,0.0,-1.0,1000.0
14.0,5461.479528765793,0.0,0.0,-1.0,1000.0
15.0,5427.012566853388,0.0,0.0,-1.0,1000.0
16.0,5448.147685038286,0.0,0.0,-1.0,1000.0
17.0,5440.050825356296,0.0,0.0,-1.0,1000.0
18.0,5424.020575930583,0.0,0.0,-1.0,1000.0
19.0,5429.090087595079,0.0,0.0,-1.0,1000.0
20.0,5454.30639902381,0.0,0.0,-1.0,1000.0
21.0,5440.1335992757,0.0,0.0,-1.0,1000.0
22.0,5412.251914601421,0.0,0.0,-1.0,1000.0
23.0,5425.028823602523,0.0,0.0,-1.0,1000.0
24.0,5434.835238652573,0.0,0.0,-1.0,1000.0
25.0,5443.534291632793,0.0,0.0,-1.0,1000.0
26.0,5441.079701716026,0.0,0.0,-1.0,1000.0
27.0,5408.474840913674,0.0,0.0,-1.0,1000.0
28.0,5410.897153722726,0.0,0.0,-1.0,1000.0
29.0,5408.754113330148,0.0,0.0,-1.0,1000.0
30.0,5452.507398076153,0.0,0.0,-1.0,1000.0
31.0,5408.084974960706,0.0,0.0,-1.0,1000.0
32.0,974.0766494215112,1.0,1.0,0.6011391282081604,72.0
33.0,5425.793283321755,0.0,0.0,-1.0,1000.0
34.0,5415.491332955146,0.0,0.0,-1.0,1000.0
35.0,5401.645289940296,0.0,0.0,-1.0,1000.0
36.0,5424.485224531243,0.0,0.0,-1.0,1000.0
37.0,5370.162241225535,0.0,0.0,-1.0,1000.0
38.0,5457.327789765682,0.0,0.0,-1.0,1000.0
39.0,5420.23554504545,0.0,0.0,-1.0,1000.0
40.0,5411.579944584481,1.0,0.0,0.6300572752952576,1.0
41.0,5479.209845120123,0.0,0.0,-1.0,1000.0
42.0,5444.526069788456,0.0,0.0,-1.0,1000.0
43.0,5457.956132652337,0.0,0.0,-1.0,1000.0
44.0,5463.226202137694,0.0,0.0,-1.0,1000.0
45.0,5463.865677935556,0.0,0.0,-1.0,1000.0
46.0,5421.414111592119,0.0,0.0,-1.0,1000.0
47.0,5451.8858861224335,0.0,0.0,-1.0,1000.0
48.0,5438.754386281799,0.0,0.0,-1.0,1000.0
49.0,5417.962608747116,0.0,0.0,-1.0,1000.0
50.0,5420.131985165054,0.0,0.0,-1.0,1000.0
51.0,5451.734048743559,0.0,0.0,-1.0,1000.0
52.0,5454.067371468426,0.0,0.0,-1.0,1000.0
53.0,5446.54008875894,0.0,0.0,-1.0,1000.0
54.0,5420.768948926084,0.0,0.0,-1.0,1000.0
55.0,5418.106824250171,0.0,0.0,-1.0,1000.0
56.0,5434.585766249394,0.0,0.0,-1.0,1000.0
57.0,5405.003762367337,0.0,0.0,-1.0,1000.0
58.0,5405.178936441001,0.0,0.0,-1.0,1000.0
59.0,5417.43949513631,0.0,0.0,-1.0,1000.0
60.0,5410.873244450876,0.0,0.0,-1.0,1000.0
61.0,5452.0178093246295,0.0,0.0,-1.0,1000.0
62.0,5450.517570593045,0.0,0.0,-1.0,1000.0
63.0,5420.767599059864,0.0,0.0,-1.0,1000.0
64.0,5426.662229012708,0.0,0.0,-1.0,1000.0
65.0,5444.893562039852,0.0,0.0,-1.0,1000.0
66.0,5416.982200507932,0.0,0.0,-1.0,1000.0
67.0,1561.6868211652863,1.0,1.0,0.5831075310707092,44.0
68.0,5422.438722837404,0.0,0.0,-1.0,1000.0
69.0,5365.619715728423,0.0,0.0,-1.0,1000.0
70.0,5426.2979374913875,0.0,0.0,-1.0,1000.0
71.0,1293.931998880767,1.0,1.0,0.5561020374298096,96.0
72.0,5428.113396248486,0.0,0.0,-1.0,1000.0
73.0,5400.473063328546,0.0,0.0,-1.0,1000.0
74.0,5440.742848490486,0.0,0.0,-1.0,1000.0
75.0,5457.585656402602,0.0,0.0,-1.0,1000.0
76.0,5420.648411194539,0.0,0.0,-1.0,1000.0
77.0,5450.425304055043,0.0,0.0,-1.0,1000.0
78.0,5463.715776823408,0.0,0.0,-1.0,1000.0
79.0,5442.9397095840195,0.0,0.0,-1.0,1000.0
80.0,5444.722001480404,0.0,0.0,-1.0,1000.0
