Episode,Reward,Pre,True,Probabilities,Steps
0.0,196.15860979648056,1.0,1.0,0.5288753509521484,532.0
1.0,305.69462870903106,1.0,0.0,0.5167389512062073,316.0
2.0,310.1778825657118,0.0,0.0,-1.0,880.0
3.0,310.7614497201486,0.0,0.0,-1.0,898.0
4.0,179.35328178937374,1.0,1.0,0.5278925895690918,758.0
5.0,303.32478916603804,1.0,0.0,0.6216751933097839,320.0
6.0,-20.289054501811634,1.0,1.0,0.5015807747840881,101.0
7.0,304.4388463602397,1.0,0.0,0.6044273972511292,782.0
8.0,-17.600636588921176,1.0,1.0,0.5007312297821045,13.0
9.0,307.86651487806625,1.0,0.0,0.5081043839454651,793.0
10.0,307.49182395834066,0.0,0.0,-1.0,935.0
11.0,306.97457336693617,1.0,0.0,0.6837224364280701,171.0
12.0,309.34792415279844,0.0,0.0,-1.0,917.0
13.0,305.9906335738804,1.0,0.0,0.5210712552070618,685.0
14.0,306.3735977979526,0.0,0.0,-1.0,950.0
15.0,311.27997850280605,0.0,0.0,-1.0,884.0
16.0,308.16234221529754,0.0,0.0,-1.0,949.0
17.0,103.30607511823507,1.0,1.0,0.5532001256942749,141.0
18.0,304.6169101123631,1.0,0.0,0.549302339553833,646.0
19.0,3.158929542338427,1.0,1.0,0.5276750326156616,31.0
20.0,300.95200516312036,1.0,0.0,0.6484452486038208,447.0
21.0,307.8560794284848,1.0,0.0,0.5823702216148376,337.0
22.0,162.919307794897,1.0,1.0,0.5109587907791138,19.0
23.0,304.92553695993115,0.0,0.0,-1.0,978.0
24.0,306.55708000359294,1.0,0.0,0.551735520362854,562.0
25.0,304.83876321844383,1.0,0.0,0.5822112560272217,871.0
26.0,308.4493909693455,1.0,0.0,0.5223614573478699,244.0
27.0,308.37826993335244,1.0,0.0,0.6118823885917664,756.0
28.0,-31.45581251977447,1.0,1.0,0.6713243126869202,31.0
29.0,143.0093201551515,1.0,1.0,0.5494076013565063,315.0
30.0,308.4284495117617,0.0,0.0,-1.0,951.0
31.0,304.3538772131542,1.0,0.0,0.575130820274353,486.0
32.0,308.5785119785119,1.0,0.0,0.5020376443862915,147.0
33.0,308.79029821975854,1.0,0.0,0.5483114719390869,770.0
34.0,162.9609173657284,1.0,1.0,0.5420894622802734,435.0
35.0,306.9627927157968,1.0,0.0,0.6144039034843445,202.0
36.0,305.14200507736933,1.0,0.0,0.5129228234291077,662.0
37.0,35.20989926297034,1.0,1.0,0.6237834692001343,218.0
38.0,301.24779148025084,1.0,0.0,0.5261065363883972,916.0
39.0,307.33454150516854,1.0,0.0,0.542151689529419,696.0
40.0,303.32570128509394,1.0,0.0,0.5024932622909546,382.0
41.0,305.2507254659673,0.0,0.0,-1.0,959.0
42.0,309.0628465233924,1.0,0.0,0.5087540745735168,290.0
43.0,305.28574263744923,0.0,0.0,-1.0,934.0
44.0,63.04814779292539,1.0,1.0,0.5445951819419861,100.0
45.0,41.25971201440885,1.0,1.0,0.6824628114700317,18.0
46.0,303.4178189288617,1.0,0.0,0.5054937601089478,421.0
47.0,306.9168969161102,1.0,0.0,0.6449404954910278,765.0
48.0,306.43209479263595,1.0,0.0,0.6346350312232971,318.0
49.0,307.62304747890465,1.0,0.0,0.5343095660209656,522.0
50.0,304.04834012177326,1.0,0.0,0.594918429851532,411.0
51.0,304.6422007157887,1.0,0.0,0.5461334586143494,248.0
52.0,308.85629717913696,0.0,0.0,-1.0,910.0
53.0,136.33022545838176,1.0,1.0,0.5117600560188293,14.0
54.0,307.51323665215443,0.0,0.0,-1.0,917.0
55.0,310.76994933150206,0.0,0.0,-1.0,890.0
56.0,308.10565902585944,0.0,0.0,-1.0,917.0
57.0,308.5471731752723,0.0,0.0,-1.0,910.0
58.0,306.6988498112772,1.0,0.0,0.5815636515617371,59.0
59.0,306.2706153071504,1.0,0.0,0.546483039855957,219.0
60.0,48.145417557896565,1.0,1.0,0.5640493631362915,14.0
61.0,300.1617123028305,1.0,0.0,0.5773731470108032,908.0
62.0,302.9177492954391,1.0,0.0,0.5679458975791931,526.0
63.0,304.88791754808904,1.0,0.0,0.5295735597610474,105.0
64.0,311.4491676500547,1.0,0.0,0.5494703650474548,433.0
65.0,305.24900552118964,1.0,0.0,0.5295427441596985,568.0
66.0,26.096993924197434,1.0,1.0,0.5503004193305969,21.0
67.0,167.6458545766411,1.0,1.0,0.5032214522361755,587.0
68.0,308.3366808106812,1.0,0.0,0.5401410460472107,576.0
69.0,191.31567512969292,1.0,1.0,0.6336662173271179,19.0
70.0,305.9991344307031,1.0,0.0,0.5098520517349243,466.0
71.0,308.94950019842724,1.0,0.0,0.5185716152191162,295.0
72.0,309.4122319580626,1.0,0.0,0.5820425748825073,576.0
73.0,-30.20571713162215,1.0,1.0,0.5546786189079285,16.0
74.0,305.898886682739,1.0,0.0,0.629662036895752,661.0
75.0,309.3952154763607,0.0,0.0,-1.0,928.0
76.0,308.868458004039,0.0,0.0,-1.0,923.0
77.0,306.96685171164546,0.0,0.0,-1.0,932.0
78.0,306.05001163157965,1.0,0.0,0.5535798668861389,222.0
79.0,147.65720215626743,1.0,1.0,0.5211069583892822,17.0
80.0,308.5765448309305,0.0,0.0,-1.0,920.0
81.0,105.17438609235884,1.0,1.0,0.5498298406600952,14.0
82.0,-26.5023770918219,1.0,1.0,0.64830082654953,18.0
83.0,306.92509900426836,0.0,0.0,-1.0,930.0
84.0,74.52466921684837,1.0,1.0,0.6156396865844727,19.0
85.0,149.55256051209253,1.0,1.0,0.5048918724060059,524.0
86.0,-33.4981010703376,1.0,1.0,0.609191358089447,16.0
87.0,128.31124899150416,1.0,1.0,0.5566725134849548,214.0
88.0,142.3094844072148,1.0,1.0,0.5233331322669983,18.0
89.0,309.41755739997393,0.0,0.0,-1.0,927.0
90.0,145.92333514812577,1.0,1.0,0.5269378423690796,113.0
91.0,306.1622831608152,1.0,0.0,0.5023373365402222,550.0
92.0,118.22606105206034,1.0,1.0,0.5705358386039734,15.0
93.0,299.8678293288749,1.0,0.0,0.5371007323265076,960.0
94.0,303.5674499439056,1.0,0.0,0.5575076341629028,858.0
95.0,308.44446033526987,0.0,0.0,-1.0,938.0
96.0,303.69608822928467,1.0,0.0,0.5263071060180664,726.0
97.0,307.28828051866253,1.0,0.0,0.6505491137504578,406.0
98.0,305.67783587261965,1.0,0.0,0.5423813462257385,287.0
99.0,16.395252170420434,1.0,1.0,0.722157895565033,24.0
100.0,307.59344316160076,1.0,0.0,0.567435622215271,633.0
101.0,305.42622498159653,1.0,0.0,0.5148100256919861,834.0
102.0,58.80312954059738,1.0,1.0,0.6108646392822266,12.0
103.0,311.4825242492117,0.0,0.0,-1.0,859.0
104.0,304.057482711037,0.0,0.0,-1.0,971.0
105.0,173.4536946471095,1.0,1.0,0.5108026266098022,519.0
106.0,83.46238298925141,1.0,1.0,0.5373314023017883,15.0
107.0,305.4426329918963,0.0,0.0,-1.0,985.0
108.0,305.6877143922265,1.0,0.0,0.6104542016983032,848.0
109.0,310.26098879460824,1.0,0.0,0.5948952436447144,694.0
110.0,308.4443161126399,1.0,0.0,0.5564151406288147,640.0
