Episode,Reward,Pre,True,Probabilities,Steps
0.0,3256.8186770822713,0.0,0.0,-1.0,1000.0
1.0,3271.776537491056,0.0,0.0,-1.0,1000.0
2.0,3276.6881972191536,0.0,0.0,-1.0,1000.0
3.0,3431.981717188206,1.0,1.0,0.500737190246582,185.0
4.0,2335.386433678391,1.0,1.0,0.5234453082084656,111.0
5.0,2534.932810759809,1.0,1.0,0.5596794486045837,154.0
6.0,3256.5532321942005,0.0,0.0,-1.0,1000.0
7.0,3291.168543929996,1.0,0.0,0.562294602394104,6.0
8.0,2192.916307246564,1.0,1.0,0.5483320951461792,129.0
9.0,3282.0451203079474,0.0,0.0,-1.0,1000.0
10.0,3242.6534634231252,0.0,0.0,-1.0,1000.0
11.0,3287.1499121669735,0.0,0.0,-1.0,1000.0
12.0,2215.7963194962717,1.0,1.0,0.5196906328201294,183.0
13.0,3248.784254718911,0.0,0.0,-1.0,1000.0
14.0,3269.6681575228895,0.0,0.0,-1.0,1000.0
15.0,2122.155636584112,1.0,1.0,0.5031501054763794,132.0
16.0,3268.2111192654515,0.0,0.0,-1.0,1000.0
17.0,3330.0758208662087,1.0,0.0,0.5563971400260925,70.0
18.0,3281.067536835644,0.0,0.0,-1.0,1000.0
19.0,3261.6353953787197,0.0,0.0,-1.0,1000.0
20.0,3255.547509433371,0.0,0.0,-1.0,1000.0
21.0,3252.7055618953736,0.0,0.0,-1.0,1000.0
22.0,3261.60735153695,0.0,0.0,-1.0,1000.0
23.0,3261.785915533832,0.0,0.0,-1.0,1000.0
24.0,3303.897657018573,1.0,0.0,0.5774144530296326,12.0
25.0,2133.3556754700244,1.0,1.0,0.5062136650085449,168.0
26.0,3327.7725422554636,1.0,0.0,0.5104659199714661,69.0
27.0,2451.053796417788,1.0,1.0,0.5740625262260437,182.0
28.0,2073.0307569230986,1.0,1.0,0.6339278817176819,151.0
29.0,3254.3499041297896,0.0,0.0,-1.0,1000.0
30.0,3274.14218923905,0.0,0.0,-1.0,1000.0
31.0,3270.3556540302716,0.0,0.0,-1.0,1000.0
32.0,3258.636097368472,0.0,0.0,-1.0,1000.0
33.0,2343.377766459633,1.0,1.0,0.5672438740730286,158.0
34.0,3245.3658365154447,0.0,0.0,-1.0,1000.0
35.0,2131.670450663359,1.0,1.0,0.5540111064910889,118.0
36.0,3264.297236411349,0.0,0.0,-1.0,1000.0
37.0,2617.9189860274773,1.0,1.0,0.5364642143249512,119.0
38.0,3259.4191110928805,0.0,0.0,-1.0,1000.0
39.0,3259.718813894913,0.0,0.0,-1.0,1000.0
40.0,3252.1769395959213,0.0,0.0,-1.0,1000.0
41.0,2183.2745714658195,1.0,1.0,0.566346287727356,181.0
42.0,2118.093758154513,1.0,1.0,0.5685723423957825,75.0
43.0,3250.378971874542,0.0,0.0,-1.0,1000.0
44.0,3269.2154572548197,0.0,0.0,-1.0,1000.0
45.0,3266.1957639111315,0.0,0.0,-1.0,1000.0
46.0,3266.7704416910424,0.0,0.0,-1.0,1000.0
47.0,2274.555208135187,1.0,1.0,0.5574981570243835,144.0
48.0,2600.6555835409367,1.0,1.0,0.5585846900939941,165.0
49.0,3252.9652042387534,0.0,0.0,-1.0,1000.0
50.0,3259.1673324968156,0.0,0.0,-1.0,1000.0
51.0,3248.2804370178924,0.0,0.0,-1.0,1000.0
52.0,3084.9336757587166,1.0,1.0,0.5942222476005554,158.0
53.0,3264.703364362693,0.0,0.0,-1.0,1000.0
54.0,3259.772720009262,0.0,0.0,-1.0,1000.0
55.0,3263.5424216079614,0.0,0.0,-1.0,1000.0
56.0,2359.408227542532,1.0,1.0,0.5288551449775696,162.0
57.0,3255.030252648412,0.0,0.0,-1.0,1000.0
58.0,3257.2572213613753,0.0,0.0,-1.0,1000.0
59.0,2443.3869067701285,1.0,1.0,0.5530090928077698,180.0
60.0,3260.388549236749,0.0,0.0,-1.0,1000.0
61.0,2383.045406163367,1.0,1.0,0.5179351568222046,123.0
62.0,3254.472500567325,0.0,0.0,-1.0,1000.0
63.0,2481.9048772176716,1.0,1.0,0.515887975692749,199.0
64.0,3262.5588817724583,0.0,0.0,-1.0,1000.0
65.0,2515.7458292350975,1.0,1.0,0.5211308598518372,197.0
66.0,3270.9240558224474,0.0,0.0,-1.0,1000.0
67.0,3258.016718656873,0.0,0.0,-1.0,1000.0
68.0,3249.137888175256,0.0,0.0,-1.0,1000.0
69.0,3256.4288557346363,0.0,0.0,-1.0,1000.0
70.0,3256.1093450597086,0.0,0.0,-1.0,1000.0
71.0,3326.3515817341304,1.0,1.0,0.5500009059906006,112.0
72.0,3253.6293984239646,0.0,0.0,-1.0,1000.0
73.0,2132.8217923194875,1.0,1.0,0.5708761811256409,168.0
74.0,3252.9685850882047,0.0,0.0,-1.0,1000.0
75.0,3257.460305356872,0.0,0.0,-1.0,1000.0
76.0,3260.891883203969,0.0,0.0,-1.0,1000.0
77.0,3257.458779535726,0.0,0.0,-1.0,1000.0
78.0,3248.8629602462297,0.0,0.0,-1.0,1000.0
79.0,3249.2116172575547,0.0,0.0,-1.0,1000.0
80.0,3254.5958249190453,0.0,0.0,-1.0,1000.0
81.0,2099.9862523045254,1.0,1.0,0.5179831981658936,113.0
82.0,3257.3993161721855,0.0,0.0,-1.0,1000.0
83.0,3274.501990499153,0.0,0.0,-1.0,1000.0
84.0,2167.5130973111127,1.0,1.0,0.5665649771690369,179.0
85.0,3252.7896752961574,0.0,0.0,-1.0,1000.0
86.0,3264.533816342718,0.0,0.0,-1.0,1000.0
87.0,3261.8833804221163,0.0,0.0,-1.0,1000.0
88.0,3267.983705355045,0.0,0.0,-1.0,1000.0
89.0,3250.1716327592435,0.0,0.0,-1.0,1000.0
90.0,3255.2426967672286,0.0,0.0,-1.0,1000.0
91.0,2473.431290789107,1.0,1.0,0.5731173157691956,136.0
92.0,3246.703904054914,0.0,0.0,-1.0,1000.0
93.0,2112.303391864072,1.0,1.0,0.508686363697052,164.0
94.0,3250.680928818108,0.0,0.0,-1.0,1000.0
95.0,3269.102795779931,0.0,0.0,-1.0,1000.0
96.0,2193.7849888255196,1.0,1.0,0.5004994869232178,184.0
97.0,3257.4913185596183,0.0,0.0,-1.0,1000.0
98.0,3253.9458596464037,0.0,0.0,-1.0,1000.0
99.0,2460.0120005958465,1.0,1.0,0.5242378115653992,189.0
100.0,2157.2649699016733,1.0,1.0,0.5551078915596008,124.0
101.0,3262.637302981466,0.0,0.0,-1.0,1000.0
102.0,3257.1479613218216,0.0,0.0,-1.0,1000.0
103.0,3264.759391305158,0.0,0.0,-1.0,1000.0
104.0,3254.291859066478,0.0,0.0,-1.0,1000.0
105.0,2347.3262690059582,1.0,1.0,0.518710732460022,111.0
106.0,2228.330570887609,1.0,1.0,0.5226052403450012,190.0
107.0,2120.8565206447433,1.0,1.0,0.5822881460189819,165.0
108.0,3260.939159896178,0.0,0.0,-1.0,1000.0
109.0,2131.9590104556455,1.0,1.0,0.547435462474823,118.0
110.0,3258.205984729657,0.0,0.0,-1.0,1000.0
111.0,3254.000821835391,0.0,0.0,-1.0,1000.0
112.0,3262.9061522096113,0.0,0.0,-1.0,1000.0
113.0,3250.786106800776,0.0,0.0,-1.0,1000.0
114.0,3260.436293722229,0.0,0.0,-1.0,1000.0
115.0,2373.9782677111807,1.0,1.0,0.5269105434417725,169.0
116.0,3256.325110521135,0.0,0.0,-1.0,1000.0
117.0,3251.985548113607,0.0,0.0,-1.0,1000.0
118.0,3257.6579935730224,0.0,0.0,-1.0,1000.0
119.0,2236.4814433072925,1.0,1.0,0.5199162364006042,191.0
120.0,3272.24755313457,0.0,0.0,-1.0,1000.0
121.0,3272.226353252001,0.0,0.0,-1.0,1000.0
122.0,3254.05968224623,0.0,0.0,-1.0,1000.0
123.0,3257.6963818006425,0.0,0.0,-1.0,1000.0
124.0,3260.7504498301046,0.0,0.0,-1.0,1000.0
125.0,2099.568065636121,1.0,1.0,0.507024347782135,111.0
126.0,2136.445235349831,1.0,1.0,0.5148478746414185,169.0
127.0,3256.45254085374,0.0,0.0,-1.0,1000.0
128.0,3253.856392128476,0.0,0.0,-1.0,1000.0
129.0,3261.360457351622,0.0,0.0,-1.0,1000.0
130.0,3254.0209072908824,0.0,0.0,-1.0,1000.0
131.0,3251.90646503722,0.0,0.0,-1.0,1000.0
132.0,3257.20353135463,0.0,0.0,-1.0,1000.0
133.0,3270.066274451554,0.0,0.0,-1.0,1000.0
134.0,2543.848207679451,1.0,1.0,0.5163779854774475,149.0
135.0,3250.3708946012007,0.0,0.0,-1.0,1000.0
136.0,2562.3535913756746,1.0,1.0,0.520591139793396,153.0
137.0,2545.4108188377436,1.0,1.0,0.5085727572441101,211.0
138.0,3419.066511333599,1.0,0.0,0.525195300579071,142.0
139.0,3255.7218932345127,0.0,0.0,-1.0,1000.0
