Episode,Reward,Pre,True,Probabilities,Steps
0.0,3461.6393052035983,1.0,1.0,0.612079918384552,69.0
1.0,5446.648395107652,0.0,0.0,-1.0,1000.0
2.0,5397.417370509389,0.0,0.0,-1.0,1000.0
3.0,5458.037521663883,0.0,0.0,-1.0,1000.0
4.0,2038.845462855951,1.0,1.0,0.5353032946586609,100.0
5.0,5362.506942741251,1.0,0.0,0.5540288090705872,254.0
6.0,5435.940959714134,0.0,0.0,-1.0,1000.0
7.0,5399.87370663565,1.0,0.0,0.6326456069946289,73.0
8.0,5439.207539921801,0.0,0.0,-1.0,1000.0
9.0,5433.042410145214,0.0,0.0,-1.0,1000.0
10.0,5455.277845004167,0.0,0.0,-1.0,1000.0
11.0,4233.357490763029,1.0,1.0,0.5749666094779968,58.0
12.0,5445.096834622079,0.0,0.0,-1.0,1000.0
13.0,5375.566520848333,1.0,0.0,0.5536797642707825,595.0
14.0,5432.147083663169,0.0,0.0,-1.0,1000.0
15.0,5478.441411203304,0.0,0.0,-1.0,1000.0
16.0,5445.317876685857,0.0,0.0,-1.0,1000.0
17.0,5416.768774476881,0.0,0.0,-1.0,1000.0
18.0,5424.987901328567,0.0,0.0,-1.0,1000.0
19.0,3389.42428364035,1.0,1.0,0.6279743313789368,42.0
20.0,5417.839557590081,0.0,0.0,-1.0,1000.0
21.0,5425.213880933212,0.0,0.0,-1.0,1000.0
22.0,5429.91130985193,0.0,0.0,-1.0,1000.0
23.0,5433.468156414015,0.0,0.0,-1.0,1000.0
24.0,5459.747417667954,0.0,0.0,-1.0,1000.0
25.0,5428.754927785354,1.0,0.0,0.5749051570892334,563.0
26.0,5414.413355806055,0.0,0.0,-1.0,1000.0
27.0,5455.497969668788,0.0,0.0,-1.0,1000.0
28.0,5414.681299080972,1.0,0.0,0.5449762344360352,542.0
29.0,5422.497140751808,0.0,0.0,-1.0,1000.0
30.0,5446.441953567784,0.0,0.0,-1.0,1000.0
31.0,5286.947615187422,1.0,0.0,0.5733172297477722,218.0
32.0,5420.224461331565,0.0,0.0,-1.0,1000.0
