Episode,Reward,Pre,True,Probabilities,Steps
0.0,9323.085057389017,0.0,0.0,-1.0,1000.0
1.0,9323.39562314093,0.0,0.0,-1.0,1000.0
2.0,9321.421918384274,0.0,0.0,-1.0,1000.0
3.0,9321.099896102656,0.0,0.0,-1.0,1000.0
4.0,9320.663031927992,0.0,0.0,-1.0,1000.0
5.0,9320.85314335212,1.0,0.0,0.9552348852157593,624.0
6.0,9321.711969738604,1.0,0.0,0.5504187941551208,25.0
7.0,6596.9448580723965,1.0,1.0,0.892559289932251,16.0
8.0,4798.669719442856,1.0,1.0,0.5387320518493652,262.0
9.0,5059.485616147023,1.0,1.0,0.8019504547119141,51.0
10.0,9318.881844505071,0.0,0.0,-1.0,1000.0
11.0,9320.80478668306,0.0,0.0,-1.0,1000.0
12.0,9321.706833617,0.0,0.0,-1.0,1000.0
13.0,7137.523060423128,1.0,1.0,0.7516193389892578,53.0
14.0,4397.35273489324,1.0,1.0,0.5975110530853271,15.0
15.0,9320.886415278408,0.0,0.0,-1.0,1000.0
16.0,9321.536520874046,0.0,0.0,-1.0,1000.0
17.0,5441.811885767997,1.0,1.0,0.6659761667251587,56.0
18.0,9320.76253298959,0.0,0.0,-1.0,1000.0
19.0,1478.1918069641924,1.0,1.0,0.5832051038742065,53.0
20.0,9322.548711392808,0.0,0.0,-1.0,1000.0
21.0,2608.0409085834794,1.0,1.0,0.946715235710144,18.0
22.0,9321.737703682946,0.0,0.0,-1.0,1000.0
23.0,9322.546661137845,0.0,0.0,-1.0,1000.0
24.0,6177.00463146337,1.0,1.0,0.7041175961494446,13.0
25.0,9320.990403338663,1.0,0.0,0.5078189373016357,804.0
26.0,9322.367911049436,1.0,0.0,0.6648780703544617,629.0
27.0,2625.140982107105,1.0,1.0,0.5162074565887451,75.0
28.0,5252.640973524802,1.0,1.0,0.6198915243148804,55.0
29.0,9320.142340165876,1.0,0.0,0.6579954028129578,86.0
30.0,9321.612381174364,0.0,0.0,-1.0,1000.0
31.0,2661.628147670153,1.0,1.0,0.7194285988807678,53.0
32.0,9322.529593756137,1.0,0.0,0.5323014259338379,730.0
33.0,9320.45065352669,0.0,0.0,-1.0,1000.0
34.0,9320.345209159852,0.0,0.0,-1.0,1000.0
35.0,9320.945728985671,0.0,0.0,-1.0,1000.0
36.0,3864.932822872666,1.0,1.0,0.6355109214782715,53.0
37.0,9319.035835319564,0.0,0.0,-1.0,1000.0
38.0,9322.720567511853,1.0,0.0,0.5740060210227966,725.0
39.0,7089.432806254252,1.0,1.0,0.9538021683692932,74.0
40.0,9319.25076744428,0.0,0.0,-1.0,1000.0
41.0,6847.568513490837,1.0,1.0,0.9665530920028687,52.0
42.0,9322.048577884781,0.0,0.0,-1.0,1000.0
43.0,9322.581832042471,0.0,0.0,-1.0,1000.0
44.0,9320.407049685176,0.0,0.0,-1.0,1000.0
45.0,9320.90278641247,0.0,0.0,-1.0,1000.0
46.0,6045.364230001885,1.0,1.0,0.9728883504867554,73.0
47.0,7670.017069651639,1.0,1.0,0.6383582949638367,16.0
48.0,9321.6646624546,0.0,0.0,-1.0,1000.0
49.0,3548.1009626612145,1.0,1.0,0.8664769530296326,13.0
50.0,9321.825992658694,0.0,0.0,-1.0,1000.0
51.0,3975.114591557845,1.0,1.0,0.676065981388092,53.0
52.0,9321.002497040387,1.0,0.0,0.5224791169166565,734.0
53.0,9321.804858672065,1.0,0.0,0.7960473299026489,217.0
54.0,9321.06505298933,0.0,0.0,-1.0,1000.0
55.0,9321.842708089489,0.0,0.0,-1.0,1000.0
56.0,9322.349699656777,1.0,0.0,0.6879749298095703,337.0
57.0,9322.218581704454,0.0,0.0,-1.0,1000.0
58.0,9321.740613017411,0.0,0.0,-1.0,1000.0
59.0,6393.1566139550805,1.0,1.0,0.7538190484046936,17.0
60.0,9322.31465713608,1.0,0.0,0.6123393177986145,21.0
61.0,9320.954843744947,0.0,0.0,-1.0,1000.0
62.0,4416.941697473239,1.0,1.0,0.7065137624740601,14.0
63.0,3240.4721744320445,1.0,1.0,0.7198731303215027,327.0
64.0,9320.99872728018,0.0,0.0,-1.0,1000.0
65.0,9322.730725629212,1.0,0.0,0.5080196857452393,764.0
66.0,9322.345012194291,0.0,0.0,-1.0,1000.0
67.0,9321.227403591487,0.0,0.0,-1.0,1000.0
68.0,9322.505198133435,1.0,0.0,0.6630867719650269,464.0
69.0,9322.302775844379,1.0,0.0,0.590095043182373,858.0
70.0,9322.862778150406,0.0,0.0,-1.0,1000.0
71.0,9321.392622758649,0.0,0.0,-1.0,1000.0
72.0,9321.726997442527,0.0,0.0,-1.0,1000.0
73.0,2140.171001731731,1.0,1.0,0.5076013207435608,54.0
74.0,769.6887387823298,1.0,1.0,0.6152334213256836,50.0
75.0,9321.393629937877,0.0,0.0,-1.0,1000.0
76.0,9322.185227539965,0.0,0.0,-1.0,1000.0
77.0,9320.057754886158,1.0,0.0,0.894075870513916,148.0
78.0,4602.764068186842,1.0,1.0,0.6595426201820374,14.0
79.0,9323.16149399752,0.0,0.0,-1.0,1000.0
80.0,9321.335066417507,0.0,0.0,-1.0,1000.0
81.0,5275.008545359436,1.0,1.0,0.648508608341217,17.0
82.0,9320.377111951933,0.0,0.0,-1.0,1000.0
83.0,9321.554807637263,1.0,0.0,0.8158040642738342,1.0
84.0,8376.650316408395,1.0,1.0,0.7010611891746521,15.0
85.0,5581.36848148868,1.0,1.0,0.8076655864715576,34.0
86.0,7817.55603594117,1.0,1.0,0.7688169479370117,51.0
87.0,3223.3716905622496,1.0,1.0,0.7498021721839905,53.0
88.0,9322.51459960587,0.0,0.0,-1.0,1000.0
89.0,3456.397458014223,1.0,1.0,0.5614061951637268,13.0
90.0,3678.133961757269,1.0,1.0,0.7097726464271545,53.0
91.0,7154.165720990623,1.0,1.0,0.5552980899810791,288.0
92.0,9320.184640507345,0.0,0.0,-1.0,1000.0
93.0,4938.0855458066435,1.0,1.0,0.7766380906105042,14.0
94.0,1145.166534694483,1.0,1.0,0.967219889163971,53.0
95.0,4498.504711445467,1.0,1.0,0.6566255688667297,53.0
96.0,6011.122793531094,1.0,1.0,0.5653647780418396,15.0
97.0,6389.94767687893,1.0,1.0,0.84991455078125,465.0
98.0,9320.55356343091,0.0,0.0,-1.0,1000.0
99.0,9322.817632149316,0.0,0.0,-1.0,1000.0
100.0,9322.133710810554,0.0,0.0,-1.0,1000.0
101.0,1850.4972768977764,1.0,1.0,0.9313734769821167,54.0
102.0,9322.646126791624,0.0,0.0,-1.0,1000.0
103.0,9323.06895505036,1.0,0.0,0.5308836698532104,490.0
104.0,9321.812034209615,1.0,0.0,0.6201744079589844,404.0
105.0,9321.204235562853,0.0,0.0,-1.0,1000.0
106.0,6885.607253906751,1.0,1.0,0.6626131534576416,15.0
107.0,5850.655178030559,1.0,1.0,0.5486046075820923,51.0
108.0,9322.069841111716,0.0,0.0,-1.0,1000.0
109.0,1833.9657835273747,1.0,1.0,0.7377747297286987,15.0
110.0,9321.951197987819,0.0,0.0,-1.0,1000.0
111.0,9320.171537480755,0.0,0.0,-1.0,1000.0
112.0,3297.840340003427,1.0,1.0,0.5534065365791321,17.0
113.0,9321.158577952441,0.0,0.0,-1.0,1000.0
114.0,9320.721068458202,1.0,0.0,0.9600250720977783,656.0
115.0,9323.056991822115,1.0,0.0,0.6827208995819092,918.0
116.0,9320.629624468676,1.0,0.0,0.8901088237762451,272.0
117.0,3735.6220503967224,1.0,1.0,0.7984166741371155,18.0
118.0,9322.37724294278,0.0,0.0,-1.0,1000.0
119.0,7231.875177375051,1.0,1.0,0.90040123462677,14.0
120.0,9321.875557824886,0.0,0.0,-1.0,1000.0
121.0,1478.2617011335763,1.0,1.0,0.6061194539070129,13.0
122.0,9320.959872945512,0.0,0.0,-1.0,1000.0
123.0,2597.0107452643565,1.0,1.0,0.8573275208473206,76.0
124.0,2925.5547625267423,1.0,1.0,0.508993923664093,106.0
125.0,9320.835293967879,0.0,0.0,-1.0,1000.0
126.0,9321.21605752194,0.0,0.0,-1.0,1000.0
127.0,7071.7096274737805,1.0,1.0,0.9029200077056885,53.0
128.0,9320.489760006936,1.0,0.0,0.7456684112548828,449.0
129.0,9321.76902091311,1.0,0.0,0.5252630710601807,605.0
130.0,9322.04816645734,0.0,0.0,-1.0,1000.0
131.0,9320.271906506527,0.0,0.0,-1.0,1000.0
132.0,9322.149122836254,0.0,0.0,-1.0,1000.0
133.0,9322.107437391309,0.0,0.0,-1.0,1000.0
134.0,9321.609235058946,0.0,0.0,-1.0,1000.0
135.0,9321.224219654101,1.0,0.0,0.9746583700180054,65.0
136.0,9318.76930154805,0.0,0.0,-1.0,1000.0
137.0,798.3337822257581,1.0,1.0,0.5927476286888123,30.0
138.0,9321.368335814675,0.0,0.0,-1.0,1000.0
139.0,2269.3693024047534,1.0,1.0,0.6679703593254089,53.0
140.0,9320.354084579109,0.0,0.0,-1.0,1000.0
141.0,9320.184492016086,0.0,0.0,-1.0,1000.0
142.0,9322.144624399807,0.0,0.0,-1.0,1000.0
143.0,9319.231834328124,0.0,0.0,-1.0,1000.0
144.0,9320.880461571507,0.0,0.0,-1.0,1000.0
145.0,9322.060652211632,1.0,0.0,0.5536418557167053,741.0
146.0,5648.533859589718,1.0,1.0,0.661994218826294,21.0
147.0,6401.601832673121,1.0,1.0,0.6432955265045166,516.0
148.0,9321.969850772148,1.0,0.0,0.7938761115074158,808.0
149.0,9322.540525414262,0.0,0.0,-1.0,1000.0
150.0,9322.095883217207,0.0,0.0,-1.0,1000.0
151.0,9321.894141438699,0.0,0.0,-1.0,1000.0
152.0,9320.635452081771,0.0,0.0,-1.0,1000.0
153.0,5683.695436263537,1.0,1.0,0.9422662258148193,12.0
154.0,9322.092984498888,0.0,0.0,-1.0,1000.0
155.0,9321.495889149757,1.0,0.0,0.6805942058563232,457.0
156.0,9321.582556900628,0.0,0.0,-1.0,1000.0
157.0,6084.566961666637,1.0,1.0,0.8735256791114807,13.0
158.0,9321.469904377125,0.0,0.0,-1.0,1000.0
159.0,4855.381514724733,1.0,1.0,0.6348960399627686,54.0
160.0,3128.010475386777,1.0,1.0,0.5511822700500488,54.0
161.0,9321.367070675595,1.0,0.0,0.6112881898880005,849.0
162.0,9323.134121915113,0.0,0.0,-1.0,1000.0
163.0,7948.594508001549,1.0,1.0,0.5979834794998169,17.0
164.0,9321.270271138692,0.0,0.0,-1.0,1000.0
165.0,9321.535761668792,0.0,0.0,-1.0,1000.0
166.0,9320.412859338412,0.0,0.0,-1.0,1000.0
167.0,9320.75723005169,1.0,0.0,0.7909572124481201,21.0
168.0,9321.505680862698,0.0,0.0,-1.0,1000.0
169.0,9321.380450129178,0.0,0.0,-1.0,1000.0
170.0,9322.291329850032,1.0,0.0,0.9030864834785461,534.0
171.0,6792.5272939368115,1.0,1.0,0.746729850769043,14.0
172.0,3986.5696257611326,1.0,1.0,0.6656463146209717,52.0
173.0,9321.691233995643,0.0,0.0,-1.0,1000.0
174.0,9320.936554111235,0.0,0.0,-1.0,1000.0
175.0,9321.442207465856,0.0,0.0,-1.0,1000.0
176.0,1955.4815624695912,1.0,1.0,0.6501689553260803,14.0
177.0,9320.410922065446,1.0,0.0,0.7741795182228088,810.0
178.0,7938.048826509271,1.0,1.0,0.5474308729171753,53.0
179.0,9320.762530356402,0.0,0.0,-1.0,1000.0
180.0,3484.270819094671,1.0,1.0,0.7146344184875488,16.0
181.0,9321.118665827173,1.0,0.0,0.5330060720443726,678.0
182.0,1422.8817248901353,1.0,1.0,0.5655508041381836,52.0
183.0,7882.590142170767,1.0,1.0,0.5207313895225525,56.0
184.0,9321.997512536527,1.0,0.0,0.8102207779884338,977.0
185.0,3977.105280471506,1.0,1.0,0.7726373076438904,239.0
186.0,7424.160549924208,1.0,1.0,0.6252844929695129,54.0
187.0,760.2847143421762,1.0,1.0,0.5795108675956726,53.0
188.0,9322.037799616277,1.0,0.0,0.5248560905456543,394.0
189.0,6541.270807384841,1.0,1.0,0.9584159255027771,15.0
190.0,9322.513528835836,0.0,0.0,-1.0,1000.0
191.0,3232.1345738425885,1.0,1.0,0.654231071472168,52.0
192.0,8088.152594333599,1.0,1.0,0.9301644563674927,106.0
193.0,9320.531945949077,0.0,0.0,-1.0,1000.0
194.0,1479.822212467285,1.0,1.0,0.7836049199104309,16.0
195.0,9323.20896244744,1.0,0.0,0.6949133276939392,276.0
196.0,9322.00087165744,0.0,0.0,-1.0,1000.0
197.0,9320.28365265336,1.0,0.0,0.6835424304008484,208.0
198.0,6093.953735513357,1.0,1.0,0.5490015149116516,32.0
199.0,9320.848575111571,0.0,0.0,-1.0,1000.0
200.0,9322.038487471831,0.0,0.0,-1.0,1000.0
201.0,9321.642112536187,0.0,0.0,-1.0,1000.0
202.0,1897.1934181465213,1.0,1.0,0.622461199760437,52.0
203.0,9321.179698842685,0.0,0.0,-1.0,1000.0
204.0,5198.290774692502,1.0,1.0,0.8538916110992432,50.0
205.0,9321.66152014264,1.0,0.0,0.6257516145706177,140.0
206.0,9321.922321807844,0.0,0.0,-1.0,1000.0
207.0,9322.793945055804,0.0,0.0,-1.0,1000.0
208.0,9321.51183086971,1.0,0.0,0.5713286995887756,127.0
209.0,9322.316983177781,0.0,0.0,-1.0,1000.0
210.0,9320.304581277727,1.0,0.0,0.5182488560676575,724.0
211.0,2280.1838943972443,1.0,1.0,0.6486604809761047,36.0
212.0,9322.077477926981,0.0,0.0,-1.0,1000.0
213.0,2551.7002638410618,1.0,1.0,0.6418891549110413,15.0
214.0,9321.626087002165,0.0,0.0,-1.0,1000.0
215.0,2205.9623273465027,1.0,1.0,0.6390185356140137,52.0
216.0,6802.204458337627,1.0,1.0,0.937471866607666,409.0
217.0,9322.37492926797,0.0,0.0,-1.0,1000.0
218.0,7203.020864983564,1.0,1.0,0.5064148902893066,475.0
219.0,9319.147905604865,0.0,0.0,-1.0,1000.0
220.0,9322.930888261235,1.0,0.0,0.8358823657035828,174.0
221.0,9323.042673012984,0.0,0.0,-1.0,1000.0
222.0,9320.647911324171,0.0,0.0,-1.0,1000.0
223.0,9321.43091018625,0.0,0.0,-1.0,1000.0
224.0,9321.471210234584,0.0,0.0,-1.0,1000.0
225.0,9321.927346459255,0.0,0.0,-1.0,1000.0
226.0,8200.713684270206,1.0,1.0,0.8340095281600952,616.0
227.0,9322.808026235594,0.0,0.0,-1.0,1000.0
228.0,9321.645370271628,0.0,0.0,-1.0,1000.0
229.0,9321.65293560181,1.0,0.0,0.7626200914382935,888.0
230.0,9320.929470445466,0.0,0.0,-1.0,1000.0
231.0,9321.33878208612,0.0,0.0,-1.0,1000.0
232.0,9321.398693448562,0.0,0.0,-1.0,1000.0
233.0,9321.455222581073,0.0,0.0,-1.0,1000.0
234.0,1554.1959537952848,1.0,1.0,0.7699058651924133,72.0
235.0,9321.64920757289,0.0,0.0,-1.0,1000.0
236.0,1665.022859728009,1.0,1.0,0.7390592098236084,33.0
237.0,6849.95795543493,1.0,1.0,0.8147133588790894,17.0
238.0,6775.033302490467,1.0,1.0,0.5946689248085022,19.0
239.0,9322.593778861365,1.0,0.0,0.591741681098938,676.0
240.0,9321.254762257913,0.0,0.0,-1.0,1000.0
241.0,9319.455507829283,0.0,0.0,-1.0,1000.0
242.0,9320.139710545858,0.0,0.0,-1.0,1000.0
243.0,4379.681284894003,1.0,1.0,0.5528272390365601,14.0
244.0,6029.072452477427,1.0,1.0,0.6946485638618469,14.0
245.0,5457.502566299416,1.0,1.0,0.8340745568275452,54.0
246.0,3950.602212646604,1.0,1.0,0.5549070835113525,13.0
247.0,9320.467497847269,1.0,0.0,0.8492929935455322,711.0
248.0,9320.58998195406,1.0,0.0,0.9430480003356934,209.0
249.0,9321.472667023338,0.0,0.0,-1.0,1000.0
250.0,9320.947552664764,0.0,0.0,-1.0,1000.0
251.0,9321.649403791636,0.0,0.0,-1.0,1000.0
252.0,9321.633143309722,1.0,0.0,0.5158517360687256,860.0
253.0,8682.893090279822,1.0,1.0,0.7520998120307922,54.0
254.0,2282.2489822464854,1.0,1.0,0.8339697122573853,13.0
255.0,9320.32482712263,1.0,0.0,0.5701619982719421,38.0
256.0,9321.668440438236,0.0,0.0,-1.0,1000.0
257.0,9320.889129103885,1.0,0.0,0.5275291204452515,8.0
258.0,4024.9005427651273,1.0,1.0,0.9631391763687134,12.0
259.0,2561.317731881054,1.0,1.0,0.564734935760498,55.0
260.0,9321.603530118015,1.0,0.0,0.6060731410980225,9.0
261.0,9319.872861900325,0.0,0.0,-1.0,1000.0
262.0,9320.189921375124,0.0,0.0,-1.0,1000.0
263.0,9320.85615243512,1.0,0.0,0.6587427258491516,25.0
264.0,1235.5174501707902,1.0,1.0,0.5933257341384888,54.0
265.0,9320.911330094694,0.0,0.0,-1.0,1000.0
266.0,9321.810676285726,0.0,0.0,-1.0,1000.0
267.0,9322.21824463406,0.0,0.0,-1.0,1000.0
268.0,8944.874288631789,1.0,1.0,0.8932188153266907,13.0
269.0,9321.94906792811,0.0,0.0,-1.0,1000.0
270.0,2484.459877735086,1.0,1.0,0.5976621508598328,51.0
271.0,5730.737571386617,1.0,1.0,0.7391548752784729,14.0
272.0,9319.110015954771,1.0,0.0,0.8480644822120667,887.0
273.0,9321.606752039477,0.0,0.0,-1.0,1000.0
274.0,9321.027097921431,1.0,0.0,0.6220252513885498,775.0
275.0,9322.164242276605,1.0,0.0,0.8245258927345276,577.0
276.0,9321.08744128497,0.0,0.0,-1.0,1000.0
277.0,9320.764015652097,0.0,0.0,-1.0,1000.0
278.0,9319.65140770629,0.0,0.0,-1.0,1000.0
279.0,9321.250694124335,0.0,0.0,-1.0,1000.0
280.0,9321.694072105796,1.0,0.0,0.5888139605522156,430.0
281.0,2160.0031173457082,1.0,1.0,0.9439523220062256,54.0
282.0,9321.367737362085,1.0,0.0,0.8171949982643127,812.0
283.0,9319.43380323871,1.0,0.0,0.5364099144935608,848.0
284.0,9320.76209100076,0.0,0.0,-1.0,1000.0
285.0,9321.734670660104,0.0,0.0,-1.0,1000.0
286.0,8211.219714362607,1.0,1.0,0.6482093334197998,701.0
287.0,9321.426112407362,0.0,0.0,-1.0,1000.0
288.0,9320.545774640597,0.0,0.0,-1.0,1000.0
289.0,9320.425510296023,0.0,0.0,-1.0,1000.0
290.0,9322.505076552674,0.0,0.0,-1.0,1000.0
291.0,751.0844548760028,1.0,1.0,0.5020331144332886,54.0
