Episode,Reward,Pre,True,Probabilities,Steps
0.0,9322.640544546082,0.0,0.0,-1.0,1000.0
1.0,9320.943914660334,0.0,0.0,-1.0,1000.0
2.0,7379.513127506428,1.0,1.0,0.5198178291320801,16.0
3.0,4564.487477864624,1.0,1.0,0.5029484629631042,15.0
4.0,9320.937777904452,0.0,0.0,-1.0,1000.0
5.0,9320.403490306811,0.0,0.0,-1.0,1000.0
6.0,9321.811688778469,0.0,0.0,-1.0,1000.0
7.0,9321.883650554993,0.0,0.0,-1.0,1000.0
8.0,9319.96287297514,0.0,0.0,-1.0,1000.0
9.0,9321.797219924207,0.0,0.0,-1.0,1000.0
10.0,9320.706596500355,0.0,0.0,-1.0,1000.0
11.0,4687.334094789929,1.0,1.0,0.665762722492218,13.0
12.0,9320.561555557917,0.0,0.0,-1.0,1000.0
13.0,2570.66514567535,1.0,1.0,0.6984933614730835,11.0
14.0,1489.3930354895035,1.0,1.0,0.6333881616592407,17.0
15.0,6772.740085582575,1.0,1.0,0.5248607397079468,16.0
16.0,9321.22961480287,0.0,0.0,-1.0,1000.0
17.0,9321.137707887605,0.0,0.0,-1.0,1000.0
18.0,9321.44013031953,0.0,0.0,-1.0,1000.0
19.0,9322.595216400152,0.0,0.0,-1.0,1000.0
20.0,9321.976911593661,0.0,0.0,-1.0,1000.0
21.0,3763.9877017516055,1.0,1.0,0.5401743054389954,14.0
22.0,9321.352909665286,0.0,0.0,-1.0,1000.0
23.0,9322.942295657798,0.0,0.0,-1.0,1000.0
24.0,8851.710664059654,1.0,1.0,0.5300248861312866,18.0
25.0,3807.238610268125,1.0,1.0,0.5686713457107544,17.0
26.0,9322.270583884987,0.0,0.0,-1.0,1000.0
27.0,9322.243092414421,0.0,0.0,-1.0,1000.0
28.0,9320.214799608491,0.0,0.0,-1.0,1000.0
29.0,9321.641491166316,0.0,0.0,-1.0,1000.0
30.0,4639.224773355252,1.0,1.0,0.7295808792114258,15.0
31.0,8377.086170509527,1.0,1.0,0.5075064301490784,17.0
32.0,9320.077492548508,0.0,0.0,-1.0,1000.0
33.0,4137.333334756248,1.0,1.0,0.8368961215019226,12.0
34.0,9319.589962704784,0.0,0.0,-1.0,1000.0
35.0,9321.00815907552,0.0,0.0,-1.0,1000.0
36.0,9320.17405578886,0.0,0.0,-1.0,1000.0
37.0,9320.244299491955,0.0,0.0,-1.0,1000.0
38.0,8926.916295193596,1.0,1.0,0.5074660181999207,16.0
39.0,9322.057594670376,0.0,0.0,-1.0,1000.0
40.0,9321.036676058216,0.0,0.0,-1.0,1000.0
41.0,9322.237809399121,0.0,0.0,-1.0,1000.0
42.0,9319.729259235915,0.0,0.0,-1.0,1000.0
43.0,8918.672539586163,1.0,1.0,0.544520378112793,9.0
44.0,9321.789422955566,0.0,0.0,-1.0,1000.0
45.0,9321.414894106161,0.0,0.0,-1.0,1000.0
46.0,5413.756942873465,1.0,1.0,0.6153954267501831,14.0
47.0,9322.05896792205,0.0,0.0,-1.0,1000.0
48.0,9320.463067022349,0.0,0.0,-1.0,1000.0
49.0,9321.106197696714,0.0,0.0,-1.0,1000.0
50.0,9321.640619603595,0.0,0.0,-1.0,1000.0
51.0,9321.851278314027,0.0,0.0,-1.0,1000.0
52.0,9322.66392946046,0.0,0.0,-1.0,1000.0
53.0,9322.462455902432,0.0,0.0,-1.0,1000.0
54.0,9322.308948513062,0.0,0.0,-1.0,1000.0
55.0,9322.840437518209,0.0,0.0,-1.0,1000.0
56.0,9320.478120459635,0.0,0.0,-1.0,1000.0
57.0,9320.89483321962,0.0,0.0,-1.0,1000.0
58.0,8979.54828374076,1.0,1.0,0.5989899635314941,15.0
59.0,929.5031324330265,1.0,1.0,0.6720519065856934,7.0
60.0,9321.54785929158,0.0,0.0,-1.0,1000.0
61.0,2961.0326885006752,1.0,1.0,0.5340353846549988,8.0
62.0,9320.67703308477,0.0,0.0,-1.0,1000.0
63.0,9322.160647185296,0.0,0.0,-1.0,1000.0
64.0,937.4631520462343,1.0,1.0,0.8700493574142456,6.0
65.0,9322.42443844353,0.0,0.0,-1.0,1000.0
66.0,9321.871103801432,0.0,0.0,-1.0,1000.0
67.0,8973.431921502917,1.0,1.0,0.5679281949996948,15.0
68.0,2085.1729649824306,1.0,1.0,0.5597770810127258,16.0
69.0,9320.780510791617,0.0,0.0,-1.0,1000.0
70.0,9321.715338042233,0.0,0.0,-1.0,1000.0
71.0,921.226809555212,1.0,1.0,0.630402684211731,6.0
72.0,5301.596653808919,1.0,1.0,0.6056069135665894,9.0
73.0,9321.133813118313,0.0,0.0,-1.0,1000.0
74.0,9320.720749842432,0.0,0.0,-1.0,1000.0
75.0,9320.494647960566,0.0,0.0,-1.0,1000.0
76.0,9321.325065966077,0.0,0.0,-1.0,1000.0
77.0,9321.487892018908,0.0,0.0,-1.0,1000.0
78.0,5467.851313167626,1.0,1.0,0.5862963795661926,24.0
79.0,4965.820958676184,1.0,1.0,0.6406555771827698,4.0
80.0,9321.265184665035,0.0,0.0,-1.0,1000.0
81.0,9321.932094623504,0.0,0.0,-1.0,1000.0
82.0,9320.81034673672,0.0,0.0,-1.0,1000.0
83.0,9320.975343797281,0.0,0.0,-1.0,1000.0
84.0,9321.736494210416,0.0,0.0,-1.0,1000.0
85.0,5582.124321255966,1.0,1.0,0.5225486159324646,14.0
86.0,4331.522421626855,1.0,1.0,0.8050283789634705,4.0
87.0,9321.753882654784,0.0,0.0,-1.0,1000.0
88.0,9319.224942205707,0.0,0.0,-1.0,1000.0
89.0,9321.651574810981,0.0,0.0,-1.0,1000.0
90.0,1050.4038489758523,1.0,1.0,0.5807534456253052,4.0
91.0,9319.69421132853,0.0,0.0,-1.0,1000.0
92.0,3537.3448458889543,1.0,1.0,0.5180420279502869,14.0
93.0,9322.540426892157,0.0,0.0,-1.0,1000.0
94.0,5022.233566631488,1.0,1.0,0.6569337844848633,14.0
95.0,4723.319750418073,1.0,1.0,0.5509029030799866,4.0
96.0,3000.215408029433,1.0,1.0,0.7423647046089172,16.0
97.0,9319.185892302907,0.0,0.0,-1.0,1000.0
98.0,5093.254669803615,1.0,1.0,0.7041221261024475,4.0
99.0,2868.107249768377,1.0,1.0,0.5748798251152039,13.0
100.0,9321.634620240804,0.0,0.0,-1.0,1000.0
101.0,9321.536581275133,0.0,0.0,-1.0,1000.0
102.0,9320.60584493715,0.0,0.0,-1.0,1000.0
103.0,9321.115428425717,0.0,0.0,-1.0,1000.0
104.0,2952.4122564392555,1.0,1.0,0.736335039138794,3.0
105.0,1851.4066712646156,1.0,1.0,0.5895094871520996,4.0
106.0,9322.699587725136,0.0,0.0,-1.0,1000.0
107.0,9321.8445553052,0.0,0.0,-1.0,1000.0
108.0,7677.317451973791,1.0,1.0,0.5107104778289795,6.0
109.0,2327.5746517434072,1.0,1.0,0.7248147130012512,5.0
110.0,9320.28937230791,0.0,0.0,-1.0,1000.0
111.0,8274.951433081278,1.0,1.0,0.594398558139801,5.0
112.0,9322.542103027714,0.0,0.0,-1.0,1000.0
