Episode,Reward,Pre,True,Probabilities,Steps
0.0,-71.07425463187073,1.0,1.0,0.5799716711044312,19.0
1.0,26.59796069652151,1.0,1.0,0.5028551816940308,17.0
2.0,98.86985162179664,1.0,1.0,0.5625113844871521,22.0
3.0,306.8563609539381,0.0,0.0,-1.0,931.0
4.0,309.8277008304469,0.0,0.0,-1.0,897.0
5.0,304.7429918939221,0.0,0.0,-1.0,975.0
6.0,296.5415171574083,1.0,0.0,0.6266534924507141,758.0
7.0,307.07472659076,0.0,0.0,-1.0,956.0
8.0,145.19875344818507,1.0,1.0,0.5796929001808167,11.0
9.0,307.7011109145774,0.0,0.0,-1.0,949.0
10.0,193.96709213688604,1.0,1.0,0.5217500329017639,19.0
11.0,296.324046479794,0.0,0.0,-1.0,1108.0
12.0,69.85079597024438,1.0,1.0,0.5229167342185974,30.0
13.0,308.199337752867,0.0,0.0,-1.0,952.0
14.0,306.3625001441389,0.0,0.0,-1.0,980.0
15.0,307.1118335018164,0.0,0.0,-1.0,932.0
16.0,308.04902426981863,0.0,0.0,-1.0,924.0
17.0,23.803440565248366,1.0,1.0,0.6422358155250549,20.0
18.0,308.0683158566629,0.0,0.0,-1.0,945.0
19.0,308.59894610844145,0.0,0.0,-1.0,900.0
20.0,308.4383568148567,0.0,0.0,-1.0,937.0
21.0,308.98224318581276,0.0,0.0,-1.0,923.0
22.0,-80.648350761819,1.0,1.0,0.6889100670814514,28.0
23.0,305.29203427837206,1.0,0.0,0.5889066457748413,343.0
24.0,306.79808217859323,0.0,0.0,-1.0,964.0
25.0,65.8021012014205,1.0,1.0,0.5607950687408447,20.0
26.0,304.1790015351836,0.0,0.0,-1.0,1004.0
27.0,303.2182350268071,0.0,0.0,-1.0,983.0
28.0,203.79970248762186,1.0,1.0,0.613461434841156,36.0
29.0,303.46576219490674,0.0,0.0,-1.0,1055.0
30.0,306.08318682678254,0.0,0.0,-1.0,1013.0
31.0,305.7394863438482,0.0,0.0,-1.0,954.0
32.0,306.1491864567572,0.0,0.0,-1.0,948.0
33.0,307.80085661814945,0.0,0.0,-1.0,938.0
34.0,308.7545127630857,0.0,0.0,-1.0,945.0
35.0,305.29355514417057,0.0,0.0,-1.0,1016.0
36.0,303.8209126565691,0.0,0.0,-1.0,978.0
37.0,305.051395611828,0.0,0.0,-1.0,957.0
38.0,304.88516865918024,0.0,0.0,-1.0,970.0
39.0,305.89032164233987,0.0,0.0,-1.0,964.0
40.0,303.83429489936555,0.0,0.0,-1.0,1034.0
41.0,305.2762817746279,0.0,0.0,-1.0,984.0
42.0,306.8494885654689,0.0,0.0,-1.0,946.0
43.0,308.1222376631918,1.0,0.0,0.5944124460220337,104.0
44.0,303.99929740990257,0.0,0.0,-1.0,1001.0
45.0,159.29708316308086,1.0,1.0,0.502717137336731,29.0
46.0,309.07612041499596,0.0,0.0,-1.0,928.0
47.0,306.6781157479288,0.0,0.0,-1.0,965.0
48.0,304.9240145984559,0.0,0.0,-1.0,997.0
49.0,133.09810891136308,1.0,1.0,0.5941230058670044,13.0
50.0,-66.46994972957731,1.0,1.0,0.5198898911476135,52.0
51.0,307.4620579550174,0.0,0.0,-1.0,924.0
52.0,35.97051402253544,1.0,1.0,0.621751070022583,22.0
53.0,-66.27781759558309,1.0,1.0,0.5534283518791199,22.0
54.0,306.5829289792883,0.0,0.0,-1.0,991.0
55.0,308.9120500586276,0.0,0.0,-1.0,922.0
56.0,67.78758238624536,1.0,1.0,0.5918676853179932,25.0
57.0,308.63530777522203,0.0,0.0,-1.0,964.0
58.0,306.17622617106707,0.0,0.0,-1.0,997.0
59.0,307.78093747933553,0.0,0.0,-1.0,914.0
60.0,310.49048670508125,0.0,0.0,-1.0,911.0
61.0,307.289804011797,0.0,0.0,-1.0,963.0
62.0,303.7698590406356,1.0,0.0,0.5254456996917725,117.0
63.0,160.06188889584547,1.0,1.0,0.6065824031829834,17.0
64.0,307.0548529610229,1.0,0.0,0.5194122195243835,928.0
65.0,57.39813234356612,1.0,1.0,0.5316141843795776,26.0
66.0,304.84302335163073,0.0,0.0,-1.0,977.0
67.0,301.43012780612645,1.0,0.0,0.5019593238830566,17.0
68.0,156.0046105981254,1.0,1.0,0.643206000328064,25.0
69.0,307.7266303626635,0.0,0.0,-1.0,919.0
70.0,300.8921953447677,0.0,0.0,-1.0,1047.0
71.0,305.582706306932,0.0,0.0,-1.0,941.0
72.0,-8.900579028458566,1.0,1.0,0.5847363471984863,72.0
73.0,309.32228437410566,0.0,0.0,-1.0,929.0
74.0,304.86700392445294,0.0,0.0,-1.0,985.0
75.0,306.0245062486521,0.0,0.0,-1.0,963.0
76.0,306.8953369476449,0.0,0.0,-1.0,933.0
77.0,312.261536686462,0.0,0.0,-1.0,920.0
78.0,309.6680660169222,0.0,0.0,-1.0,877.0
79.0,306.4852160548429,0.0,0.0,-1.0,981.0
80.0,309.9754886358322,0.0,0.0,-1.0,937.0
81.0,307.002439811312,0.0,0.0,-1.0,949.0
82.0,33.483619415665004,1.0,1.0,0.5612680315971375,20.0
83.0,177.83386264935518,1.0,1.0,0.7219669818878174,9.0
84.0,304.4167308070388,0.0,0.0,-1.0,983.0
85.0,-50.89529525323832,1.0,1.0,0.6077991724014282,12.0
86.0,307.55188790706364,0.0,0.0,-1.0,945.0
87.0,302.82765008078854,0.0,0.0,-1.0,1000.0
88.0,301.661928315382,1.0,0.0,0.5514622926712036,759.0
89.0,307.966285595586,0.0,0.0,-1.0,930.0
90.0,27.735328763191802,1.0,1.0,0.6122124195098877,27.0
91.0,307.36924846140903,0.0,0.0,-1.0,933.0
92.0,302.34902119768833,0.0,0.0,-1.0,1007.0
