Episode,Reward,Pre,True,Probabilities,Steps
0.0,3263.1863586585673,0.0,0.0,-1.0,1000.0
1.0,3286.436564835745,1.0,1.0,0.6474347710609436,134.0
2.0,3265.5362828687275,0.0,0.0,-1.0,1000.0
3.0,2194.049801614817,1.0,1.0,0.7541852593421936,106.0
4.0,3247.126117213982,0.0,0.0,-1.0,1000.0
5.0,3261.3047393908314,0.0,0.0,-1.0,1000.0
6.0,3318.5053751927685,0.0,0.0,-1.0,1000.0
7.0,3265.794067596827,0.0,0.0,-1.0,1000.0
8.0,2409.562576892761,1.0,1.0,0.653057336807251,110.0
9.0,2545.739110667269,1.0,1.0,0.7799959182739258,136.0
10.0,3260.0443490361763,0.0,0.0,-1.0,1000.0
11.0,3275.5629198336037,0.0,0.0,-1.0,1000.0
12.0,2349.046892319113,1.0,1.0,0.8158160448074341,13.0
13.0,3268.8424278158855,0.0,0.0,-1.0,1000.0
14.0,2810.2448906540826,1.0,1.0,0.7146429419517517,144.0
15.0,2182.1035566709243,1.0,1.0,0.7952244281768799,104.0
16.0,3248.762524228887,0.0,0.0,-1.0,1000.0
17.0,3251.6353681587634,0.0,0.0,-1.0,1000.0
18.0,2313.6115168332544,1.0,1.0,0.700317919254303,33.0
19.0,3252.8026567556317,0.0,0.0,-1.0,1000.0
20.0,3321.6917973669856,0.0,0.0,-1.0,1000.0
21.0,3262.610960980369,0.0,0.0,-1.0,1000.0
22.0,3260.9103199657316,0.0,0.0,-1.0,1000.0
23.0,3257.429722702041,0.0,0.0,-1.0,1000.0
24.0,3252.894592409823,0.0,0.0,-1.0,1000.0
25.0,2313.536463974032,1.0,1.0,0.5706050992012024,134.0
26.0,2932.533580708858,1.0,1.0,0.7896144390106201,121.0
27.0,2386.468308317383,1.0,1.0,0.6956304907798767,7.0
28.0,3257.3634040434067,0.0,0.0,-1.0,1000.0
29.0,3250.8355573668628,0.0,0.0,-1.0,1000.0
30.0,3252.1130045742007,0.0,0.0,-1.0,1000.0
31.0,3254.3246092857266,0.0,0.0,-1.0,1000.0
32.0,3303.922532072754,0.0,0.0,-1.0,1000.0
33.0,3257.2139475414588,0.0,0.0,-1.0,1000.0
34.0,3279.2488033498603,0.0,0.0,-1.0,1000.0
35.0,3260.671094897789,0.0,0.0,-1.0,1000.0
36.0,3255.9696929389634,0.0,0.0,-1.0,1000.0
37.0,3261.8498387494815,0.0,0.0,-1.0,1000.0
38.0,3257.117032025283,0.0,0.0,-1.0,1000.0
39.0,3253.656980420527,0.0,0.0,-1.0,1000.0
40.0,3082.0459072941526,1.0,1.0,0.876545250415802,3.0
41.0,3302.7362306021823,0.0,0.0,-1.0,1000.0
42.0,3258.1049583157446,0.0,0.0,-1.0,1000.0
43.0,3264.919299966579,0.0,0.0,-1.0,1000.0
44.0,3267.080496530735,0.0,0.0,-1.0,1000.0
45.0,3257.4651265538105,0.0,0.0,-1.0,1000.0
46.0,3253.800331197333,0.0,0.0,-1.0,1000.0
47.0,2151.5539716499843,1.0,1.0,0.5623615384101868,49.0
48.0,2574.529135683098,1.0,1.0,0.7281373143196106,136.0
49.0,3255.66810903212,0.0,0.0,-1.0,1000.0
50.0,2133.511387577865,1.0,1.0,0.721233069896698,94.0
51.0,3251.7607411443005,0.0,0.0,-1.0,1000.0
52.0,3255.6144649262205,0.0,0.0,-1.0,1000.0
53.0,3255.2158264624736,0.0,0.0,-1.0,1000.0
54.0,3247.2393149032036,0.0,0.0,-1.0,1000.0
55.0,3257.460895544303,0.0,0.0,-1.0,1000.0
56.0,2126.7353456593933,1.0,1.0,0.8799134492874146,93.0
57.0,3253.8979969637803,0.0,0.0,-1.0,1000.0
58.0,3252.8546308022455,0.0,0.0,-1.0,1000.0
59.0,3259.984229714042,0.0,0.0,-1.0,1000.0
60.0,3250.167380278483,0.0,0.0,-1.0,1000.0
61.0,3258.4926862470447,0.0,0.0,-1.0,1000.0
62.0,3263.841371272948,0.0,0.0,-1.0,1000.0
63.0,3260.4631516195213,0.0,0.0,-1.0,1000.0
64.0,3247.3406386024853,0.0,0.0,-1.0,1000.0
65.0,3151.0277350476485,1.0,1.0,0.5346817374229431,106.0
66.0,2147.5805994862217,1.0,1.0,0.6000929474830627,49.0
67.0,3261.55296082993,0.0,0.0,-1.0,1000.0
68.0,3263.3744424862307,0.0,0.0,-1.0,1000.0
69.0,3254.901323435566,0.0,0.0,-1.0,1000.0
70.0,2133.4120278640676,1.0,1.0,0.5151785612106323,96.0
71.0,2247.00387777468,1.0,1.0,0.5969528555870056,121.0
72.0,3263.4443902173734,0.0,0.0,-1.0,1000.0
73.0,3254.1001187395054,0.0,0.0,-1.0,1000.0
74.0,2824.76338818911,1.0,1.0,0.8555473685264587,151.0
75.0,3254.4154494112177,0.0,0.0,-1.0,1000.0
76.0,3262.5344847050847,0.0,0.0,-1.0,1000.0
77.0,3249.3430448363547,0.0,0.0,-1.0,1000.0
78.0,3258.871494237613,0.0,0.0,-1.0,1000.0
79.0,3253.695443468516,0.0,0.0,-1.0,1000.0
80.0,2236.0869083615535,1.0,1.0,0.5524365305900574,116.0
81.0,3259.415239240771,0.0,0.0,-1.0,1000.0
82.0,3254.187106787154,0.0,0.0,-1.0,1000.0
83.0,3257.8602443242457,0.0,0.0,-1.0,1000.0
84.0,3250.966238245822,0.0,0.0,-1.0,1000.0
85.0,3255.6180619699935,0.0,0.0,-1.0,1000.0
86.0,3317.615317498847,0.0,0.0,-1.0,1000.0
87.0,3277.049039570337,0.0,0.0,-1.0,1000.0
88.0,3251.5742239050114,0.0,0.0,-1.0,1000.0
89.0,3258.09386085139,0.0,0.0,-1.0,1000.0
90.0,3260.5609296639645,0.0,0.0,-1.0,1000.0
91.0,2650.9609802936325,1.0,1.0,0.8270944952964783,102.0
92.0,3252.1240097913837,0.0,0.0,-1.0,1000.0
93.0,3262.6681812891543,0.0,0.0,-1.0,1000.0
94.0,3263.061789770571,0.0,0.0,-1.0,1000.0
95.0,2210.2891148990243,1.0,1.0,0.6094148755073547,14.0
96.0,3246.5990855888926,0.0,0.0,-1.0,1000.0
97.0,3282.5589242193746,0.0,0.0,-1.0,1000.0
98.0,3255.257622311397,0.0,0.0,-1.0,1000.0
99.0,3255.4830047827863,0.0,0.0,-1.0,1000.0
100.0,3274.5881744091616,0.0,0.0,-1.0,1000.0
101.0,3291.829086309118,0.0,0.0,-1.0,1000.0
102.0,3272.695410268054,0.0,0.0,-1.0,1000.0
103.0,3250.889508709864,0.0,0.0,-1.0,1000.0
104.0,3266.228691757899,0.0,0.0,-1.0,1000.0
105.0,3248.5537588770603,0.0,0.0,-1.0,1000.0
106.0,3294.0392890225003,0.0,0.0,-1.0,1000.0
107.0,3251.4908571356314,0.0,0.0,-1.0,1000.0
108.0,3247.9873082514628,0.0,0.0,-1.0,1000.0
109.0,3260.997906506866,0.0,0.0,-1.0,1000.0
110.0,3251.3041513018047,0.0,0.0,-1.0,1000.0
111.0,3259.554146236143,0.0,0.0,-1.0,1000.0
112.0,3253.923355752749,0.0,0.0,-1.0,1000.0
113.0,3263.8790347021913,0.0,0.0,-1.0,1000.0
114.0,3254.561494499778,0.0,0.0,-1.0,1000.0
115.0,3264.9094020538328,0.0,0.0,-1.0,1000.0
116.0,2423.7450834235788,1.0,1.0,0.5107149481773376,103.0
117.0,3245.744056751753,0.0,0.0,-1.0,1000.0
118.0,3264.6601516949204,0.0,0.0,-1.0,1000.0
119.0,3261.277544815288,0.0,0.0,-1.0,1000.0
120.0,3260.6515639408635,0.0,0.0,-1.0,1000.0
121.0,3322.645333612073,0.0,0.0,-1.0,1000.0
122.0,2452.240622530858,1.0,1.0,0.5121254324913025,59.0
123.0,2645.9593794795755,1.0,1.0,0.6305381655693054,50.0
124.0,3261.2793999427636,0.0,0.0,-1.0,1000.0
125.0,3248.9431518799875,0.0,0.0,-1.0,1000.0
126.0,2095.870022237483,1.0,1.0,0.5290220379829407,83.0
127.0,3247.2579496534013,0.0,0.0,-1.0,1000.0
128.0,3271.579934486859,0.0,0.0,-1.0,1000.0
129.0,3259.669673156491,0.0,0.0,-1.0,1000.0
130.0,3261.3583619960673,0.0,0.0,-1.0,1000.0
131.0,3260.330271650614,0.0,0.0,-1.0,1000.0
132.0,3250.490857723796,0.0,0.0,-1.0,1000.0
133.0,3298.1063029152615,0.0,0.0,-1.0,1000.0
134.0,2188.1678748913537,1.0,1.0,0.7231680154800415,112.0
135.0,3275.190226805376,0.0,0.0,-1.0,1000.0
136.0,3379.1623596903264,1.0,0.0,0.7078840732574463,61.0
137.0,3253.8054257015206,0.0,0.0,-1.0,1000.0
138.0,3260.3463059045644,0.0,0.0,-1.0,1000.0
139.0,3251.7859115261667,0.0,0.0,-1.0,1000.0
140.0,3255.0178904922113,0.0,0.0,-1.0,1000.0
141.0,3257.83901961218,0.0,0.0,-1.0,1000.0
142.0,3090.175920195014,1.0,1.0,0.6360504031181335,94.0
143.0,3270.9864405139883,0.0,0.0,-1.0,1000.0
144.0,3255.9237230413073,0.0,0.0,-1.0,1000.0
145.0,2424.124455466195,1.0,1.0,0.5971344709396362,159.0
146.0,3080.0809200418435,1.0,1.0,0.7621033787727356,4.0
147.0,3257.425750035041,0.0,0.0,-1.0,1000.0
148.0,3256.256543335446,0.0,0.0,-1.0,1000.0
149.0,3248.673126490428,0.0,0.0,-1.0,1000.0
150.0,3246.3509587001254,0.0,0.0,-1.0,1000.0
151.0,3258.8928088309503,0.0,0.0,-1.0,1000.0
152.0,3253.395832708145,0.0,0.0,-1.0,1000.0
153.0,2179.532435468241,1.0,1.0,0.5884619355201721,105.0
154.0,3246.8596859487034,0.0,0.0,-1.0,1000.0
155.0,3265.1752655168557,0.0,0.0,-1.0,1000.0
156.0,3270.889722509838,0.0,0.0,-1.0,1000.0
157.0,3260.183827939493,0.0,0.0,-1.0,1000.0
158.0,3103.9535445948504,1.0,1.0,0.661713182926178,91.0
159.0,3255.890581843609,0.0,0.0,-1.0,1000.0
160.0,3259.1989535304015,0.0,0.0,-1.0,1000.0
161.0,3166.133198000139,1.0,1.0,0.6370424628257751,13.0
162.0,3283.9885814384647,0.0,0.0,-1.0,1000.0
163.0,3253.0868355059133,0.0,0.0,-1.0,1000.0
164.0,3257.6335608293853,0.0,0.0,-1.0,1000.0
165.0,3256.202417912326,0.0,0.0,-1.0,1000.0
166.0,3258.720175533266,0.0,0.0,-1.0,1000.0
167.0,3270.0335611787973,0.0,0.0,-1.0,1000.0
168.0,3265.0452164693256,0.0,0.0,-1.0,1000.0
169.0,3254.1466682337923,0.0,0.0,-1.0,1000.0
170.0,2240.384458537005,1.0,1.0,0.568154513835907,115.0
171.0,3259.498360202467,0.0,0.0,-1.0,1000.0
172.0,3275.0697294249867,0.0,0.0,-1.0,1000.0
173.0,3429.0526301684313,1.0,1.0,0.5806735157966614,109.0
174.0,3259.936882179618,0.0,0.0,-1.0,1000.0
175.0,3254.937662115562,0.0,0.0,-1.0,1000.0
176.0,2849.718868017194,1.0,1.0,0.6915779113769531,89.0
177.0,3256.8405839651477,0.0,0.0,-1.0,1000.0
178.0,3260.184677060861,0.0,0.0,-1.0,1000.0
179.0,3261.340986789338,0.0,0.0,-1.0,1000.0
180.0,2305.735395977797,1.0,1.0,0.769110381603241,31.0
181.0,2367.592441285792,1.0,1.0,0.7976330518722534,4.0
182.0,3258.9925363027533,0.0,0.0,-1.0,1000.0
183.0,2841.444103397821,1.0,1.0,0.5068271160125732,146.0
184.0,3027.218580946545,1.0,1.0,0.615986704826355,132.0
185.0,3354.747403194323,1.0,0.0,0.8010147213935852,5.0
186.0,3274.0454214134484,0.0,0.0,-1.0,1000.0
187.0,3273.6637909582355,0.0,0.0,-1.0,1000.0
188.0,3266.4929257115086,0.0,0.0,-1.0,1000.0
189.0,2316.7302632511028,1.0,1.0,0.6138310432434082,34.0
190.0,3257.6108258680024,0.0,0.0,-1.0,1000.0
191.0,2153.7562516177895,1.0,1.0,0.6000859141349792,104.0
192.0,3243.646879839763,0.0,0.0,-1.0,1000.0
193.0,3249.6103351468305,0.0,0.0,-1.0,1000.0
194.0,3251.550364782435,0.0,0.0,-1.0,1000.0
195.0,3260.287538683799,0.0,0.0,-1.0,1000.0
196.0,3265.405095016729,0.0,0.0,-1.0,1000.0
197.0,3255.059428995051,0.0,0.0,-1.0,1000.0
