Episode,Reward,Pre,True,Probabilities,Steps
0.0,5438.372121693609,0.0,0.0,-1.0,1000.0
1.0,3579.9404865909023,1.0,1.0,0.575929582118988,141.0
2.0,5418.390063953509,0.0,0.0,-1.0,1000.0
3.0,5424.887200496527,0.0,0.0,-1.0,1000.0
4.0,2563.9026886721226,1.0,1.0,0.5332891941070557,89.0
5.0,5415.895387747471,0.0,0.0,-1.0,1000.0
6.0,5442.356885253062,0.0,0.0,-1.0,1000.0
7.0,5420.588776787374,0.0,0.0,-1.0,1000.0
8.0,5443.4469079898,0.0,0.0,-1.0,1000.0
9.0,5449.576212324636,0.0,0.0,-1.0,1000.0
10.0,5421.961345467423,0.0,0.0,-1.0,1000.0
11.0,5408.1097297712795,0.0,0.0,-1.0,1000.0
12.0,5441.416051289918,0.0,0.0,-1.0,1000.0
13.0,5414.816519722297,0.0,0.0,-1.0,1000.0
14.0,5405.932798654142,0.0,0.0,-1.0,1000.0
15.0,2779.793107727352,1.0,1.0,0.5323185324668884,49.0
16.0,5404.660425345621,0.0,0.0,-1.0,1000.0
17.0,5446.942122347884,0.0,0.0,-1.0,1000.0
18.0,5424.3885097403645,0.0,0.0,-1.0,1000.0
19.0,5429.938690305015,0.0,0.0,-1.0,1000.0
20.0,5386.889906026682,0.0,0.0,-1.0,1000.0
21.0,5455.363375547403,0.0,0.0,-1.0,1000.0
22.0,5419.305863238944,0.0,0.0,-1.0,1000.0
23.0,5441.322675485217,0.0,0.0,-1.0,1000.0
24.0,5465.400805270698,0.0,0.0,-1.0,1000.0
25.0,5409.700812772856,0.0,0.0,-1.0,1000.0
26.0,5415.809358091105,0.0,0.0,-1.0,1000.0
27.0,5446.889161218846,0.0,0.0,-1.0,1000.0
28.0,5432.464662783132,0.0,0.0,-1.0,1000.0
29.0,5414.339858279116,1.0,0.0,0.5045440196990967,192.0
30.0,5423.269268787114,0.0,0.0,-1.0,1000.0
31.0,5460.950958668536,0.0,0.0,-1.0,1000.0
32.0,5459.990807780864,0.0,0.0,-1.0,1000.0
33.0,5436.562242730169,0.0,0.0,-1.0,1000.0
34.0,5431.763380757866,0.0,0.0,-1.0,1000.0
35.0,5434.8308974109805,0.0,0.0,-1.0,1000.0
36.0,5434.863349122048,0.0,0.0,-1.0,1000.0
37.0,5444.36153340576,0.0,0.0,-1.0,1000.0
38.0,5451.356568012063,0.0,0.0,-1.0,1000.0
39.0,5406.294324091036,0.0,0.0,-1.0,1000.0
40.0,5393.940467016882,0.0,0.0,-1.0,1000.0
41.0,3258.2411626280896,1.0,1.0,0.50284343957901,89.0
42.0,5415.342420600699,0.0,0.0,-1.0,1000.0
43.0,5439.0943354341625,0.0,0.0,-1.0,1000.0
44.0,5430.117331826635,0.0,0.0,-1.0,1000.0
45.0,5367.777557509933,1.0,0.0,0.5527909398078918,614.0
46.0,5438.174168284113,0.0,0.0,-1.0,1000.0
47.0,5435.154290229958,0.0,0.0,-1.0,1000.0
48.0,5406.238369731947,0.0,0.0,-1.0,1000.0
49.0,5439.184434802527,0.0,0.0,-1.0,1000.0
50.0,5385.5619026918885,0.0,0.0,-1.0,1000.0
51.0,4894.974439719235,1.0,1.0,0.6247259378433228,43.0
52.0,5417.2094484895915,0.0,0.0,-1.0,1000.0
53.0,4757.078485015012,1.0,1.0,0.5435082316398621,154.0
54.0,5447.075023789995,0.0,0.0,-1.0,1000.0
