Episode,Reward,Pre,True,Probabilities,Steps
0.0,2782.655774386031,1.0,1.0,0.6417653560638428,69.0
1.0,9321.176444046929,0.0,0.0,-1.0,1000.0
2.0,9321.574605770847,1.0,0.0,0.5631838440895081,323.0
3.0,9322.951254846379,0.0,0.0,-1.0,1000.0
4.0,9320.30469792501,1.0,0.0,0.5049177408218384,138.0
5.0,8945.046266131018,1.0,1.0,0.537787675857544,809.0
6.0,9321.095645258065,1.0,0.0,0.5465070009231567,423.0
7.0,9322.444204176654,0.0,0.0,-1.0,1000.0
8.0,9319.629946951032,1.0,0.0,0.6154229640960693,604.0
9.0,1478.7145965052537,1.0,1.0,0.5117948651313782,69.0
10.0,9322.406807994555,0.0,0.0,-1.0,1000.0
11.0,9319.562041160041,0.0,0.0,-1.0,1000.0
12.0,9322.632344625914,0.0,0.0,-1.0,1000.0
13.0,891.475674692122,1.0,1.0,0.5521560311317444,62.0
14.0,9321.45165217108,1.0,0.0,0.5769695043563843,816.0
15.0,9320.54440153046,0.0,0.0,-1.0,1000.0
16.0,9320.28038358224,1.0,0.0,0.541476845741272,667.0
17.0,9320.799775708334,1.0,0.0,0.5043374300003052,248.0
18.0,9321.542055864873,1.0,0.0,0.5150350332260132,744.0
19.0,9320.68797517702,1.0,0.0,0.5079935789108276,411.0
20.0,9321.366476362917,0.0,0.0,-1.0,1000.0
21.0,9321.269057559144,0.0,0.0,-1.0,1000.0
22.0,9319.857188876067,0.0,0.0,-1.0,1000.0
23.0,9323.47430681035,0.0,0.0,-1.0,1000.0
24.0,2076.1687721945846,1.0,1.0,0.5191663503646851,28.0
25.0,9321.195922296423,1.0,0.0,0.5378028750419617,26.0
26.0,9321.88018104312,1.0,0.0,0.5229149460792542,484.0
27.0,9321.518505045029,1.0,0.0,0.5075547695159912,575.0
28.0,9321.379107960054,1.0,0.0,0.5345737338066101,491.0
29.0,9321.526825953128,1.0,0.0,0.502029538154602,700.0
30.0,9320.629365283266,1.0,0.0,0.6053087711334229,827.0
31.0,8404.842015510596,1.0,1.0,0.558020830154419,13.0
32.0,8042.507126413527,1.0,1.0,0.5072178840637207,31.0
33.0,9322.218638911883,0.0,0.0,-1.0,1000.0
34.0,9320.296245743803,0.0,0.0,-1.0,1000.0
35.0,9322.17386450194,0.0,0.0,-1.0,1000.0
36.0,9320.726517847796,1.0,0.0,0.515497088432312,746.0
37.0,9321.963061390472,1.0,0.0,0.5236480832099915,545.0
