Episode,Reward,Pre,True,Probabilities,Steps
0.0,4603.257021148122,0.0,0.0,-1.0,1000.0
1.0,206.2890656800089,1.0,1.0,0.6006718277931213,63.0
2.0,4509.475099767678,0.0,0.0,-1.0,1000.0
3.0,409.33679499335983,1.0,1.0,0.5967406630516052,79.0
4.0,4653.247512692204,0.0,0.0,-1.0,1000.0
5.0,4686.244117701968,1.0,0.0,0.5046579837799072,933.0
6.0,4605.189671740106,0.0,0.0,-1.0,1000.0
7.0,371.1293263354959,1.0,1.0,0.6633193492889404,14.0
8.0,4667.142707121468,0.0,0.0,-1.0,1000.0
9.0,4496.440076381937,0.0,0.0,-1.0,1000.0
10.0,4588.136820962937,1.0,0.0,0.5529826283454895,918.0
11.0,125.39377010034343,1.0,1.0,0.6029925346374512,11.0
12.0,4660.453993472169,0.0,0.0,-1.0,1000.0
13.0,385.58323334186275,1.0,1.0,0.5188794136047363,56.0
14.0,4352.230512440237,0.0,0.0,-1.0,1000.0
15.0,490.6540318211133,1.0,1.0,0.5740084648132324,39.0
16.0,4577.764427206242,0.0,0.0,-1.0,1000.0
17.0,4610.619562244768,0.0,0.0,-1.0,1000.0
18.0,763.0072174450694,1.0,1.0,0.5331810712814331,51.0
19.0,4591.807750878911,0.0,0.0,-1.0,1000.0
20.0,169.49201818828868,1.0,1.0,0.7753027677536011,26.0
21.0,517.4669615543938,1.0,1.0,0.6625993251800537,84.0
22.0,387.4130995668861,1.0,1.0,0.6529111862182617,17.0
23.0,162.70430403457476,1.0,1.0,0.5127037167549133,24.0
24.0,4670.689791661342,0.0,0.0,-1.0,1000.0
25.0,4442.932097932604,0.0,0.0,-1.0,1000.0
26.0,4577.086076469286,1.0,0.0,0.7429192066192627,938.0
27.0,4545.646422211436,0.0,0.0,-1.0,1000.0
28.0,687.3072940399675,1.0,1.0,0.530537486076355,180.0
29.0,4437.5890749377195,0.0,0.0,-1.0,1000.0
30.0,4669.234046662122,0.0,0.0,-1.0,1000.0
31.0,4722.598832137049,0.0,0.0,-1.0,1000.0
32.0,4618.551641967832,0.0,0.0,-1.0,1000.0
33.0,4682.512679464204,0.0,0.0,-1.0,1000.0
34.0,446.3189265329932,1.0,1.0,0.5160345435142517,86.0
35.0,124.6399056065282,1.0,1.0,0.6936466693878174,14.0
36.0,4591.377806958112,0.0,0.0,-1.0,1000.0
37.0,4597.137439467124,0.0,0.0,-1.0,1000.0
38.0,170.93252452849737,1.0,1.0,0.5584219098091125,19.0
39.0,4611.582363050833,0.0,0.0,-1.0,1000.0
40.0,262.23863040315587,1.0,1.0,0.5375366806983948,50.0
41.0,4598.051801636937,0.0,0.0,-1.0,1000.0
42.0,4551.365162982222,0.0,0.0,-1.0,1000.0
43.0,4608.454299489567,0.0,0.0,-1.0,1000.0
44.0,354.3807820596894,1.0,1.0,0.7553197741508484,44.0
45.0,4641.959898225286,0.0,0.0,-1.0,1000.0
46.0,4608.319680605382,0.0,0.0,-1.0,1000.0
47.0,4475.767941769442,1.0,0.0,0.5264729261398315,942.0
48.0,155.0307553488581,1.0,1.0,0.516330361366272,10.0
49.0,4504.855659215687,0.0,0.0,-1.0,1000.0
50.0,4592.177573727146,0.0,0.0,-1.0,1000.0
51.0,233.68738968932797,1.0,1.0,0.5244473814964294,77.0
52.0,4607.3291092158615,0.0,0.0,-1.0,1000.0
53.0,4534.408515016771,0.0,0.0,-1.0,1000.0
54.0,4540.227672121425,1.0,0.0,0.7884095311164856,944.0
55.0,4518.634330727313,0.0,0.0,-1.0,1000.0
56.0,4460.2474031408265,0.0,0.0,-1.0,1000.0
57.0,337.271230200824,1.0,1.0,0.5187514424324036,12.0
58.0,4468.605187533583,1.0,0.0,0.5353065729141235,945.0
59.0,4704.569658686101,0.0,0.0,-1.0,1000.0
60.0,4453.203556029895,0.0,0.0,-1.0,1000.0
61.0,542.8625483318108,1.0,1.0,0.5680694580078125,40.0
62.0,4569.704228617445,0.0,0.0,-1.0,1000.0
63.0,4589.148077342149,0.0,0.0,-1.0,1000.0
64.0,4554.375360184551,0.0,0.0,-1.0,1000.0
65.0,146.42586064556832,1.0,1.0,0.6193904280662537,10.0
66.0,684.53142611793,1.0,1.0,0.5696049332618713,69.0
67.0,435.01544350763277,1.0,1.0,0.6903679370880127,106.0
68.0,4497.963012122288,0.0,0.0,-1.0,1000.0
69.0,360.1393298028069,1.0,1.0,0.5712869763374329,66.0
70.0,4614.729856796415,0.0,0.0,-1.0,1000.0
71.0,4627.976773218095,0.0,0.0,-1.0,1000.0
72.0,4598.836989939756,0.0,0.0,-1.0,1000.0
73.0,362.6273201113115,1.0,1.0,0.526457667350769,15.0
74.0,4615.800024048234,1.0,0.0,0.5280522704124451,927.0
75.0,4674.434665383544,0.0,0.0,-1.0,1000.0
76.0,4276.832203599889,0.0,0.0,-1.0,1000.0
77.0,624.1306558805248,1.0,1.0,0.5750332474708557,55.0
78.0,4612.202466723703,1.0,0.0,0.6562739610671997,926.0
79.0,4654.263511230444,0.0,0.0,-1.0,1000.0
80.0,727.7126900313357,1.0,1.0,0.5869209170341492,31.0
81.0,4664.655123411109,0.0,0.0,-1.0,1000.0
82.0,4529.368585920016,0.0,0.0,-1.0,1000.0
83.0,4541.503729290159,0.0,0.0,-1.0,1000.0
84.0,4569.730831479702,1.0,0.0,0.7987054586410522,927.0
85.0,4553.556369265086,0.0,0.0,-1.0,1000.0
86.0,514.9712776030021,1.0,1.0,0.51973557472229,40.0
87.0,565.8222425855361,1.0,1.0,0.5645963549613953,54.0
88.0,351.28112261029827,1.0,1.0,0.6348453760147095,60.0
89.0,4593.821495175055,0.0,0.0,-1.0,1000.0
90.0,4674.957318372832,1.0,0.0,0.6843779683113098,925.0
91.0,4537.303950773036,0.0,0.0,-1.0,1000.0
